section,title,status,qualifier,details,linked_authorities,source_document
부분 이행,V27 물리 질량·운반 전수 재조정,open,`(부분 이행)`,"현재 구현 권위: canonical mass query와 projector, 캐릭터 부분 운반과 과적, 창고·시설 버퍼 mass admission, 생산 WIP·prepared output 질량, custody, destination drain, kg 표시, current-format 물리 아이템 저장과 다수 outbox | 진행 권위: [V27 물리 질량·운반 재조정 계획](game-design/v27-physical-mass-and-hauling-recalibration-plan.md) | 승인 권위: [전체 게임 밸런스 기준서](game-design/whole-game-balance-baseline.md) | 미완료: canonical item 전체와 모든 작성 위치의 최종 kg, 장비·의복·사체 등 stateful mass 전수 정합, count·slot·buffer·virtual inventory 차원 감사 | 미완료: 생산 BOM과 source·byproduct·sink·loss 귀속, 영양·사료·약효·성능·WU·EWU·stack·저장·운반 횟수·가격의 결합 재조정 | 미완료: 원정 보급과 전리품의 exact burden, 살아 있는 대상 운송 경계, 현재 형식의 과적·WIP·입고 저장 왕복, 장기 처리량과 다중 seed 실전 증거 | 범위 밖: 과거 버전 세이브의 kg 자동 마이그레이션, 차량·팀 리프트 같은 신규 운송 콘텐츠 | 완료 조건: 계획서의 structural, content migration, live evidence, final balance와 extension closure 항목을 전수 증거로 종결",game-design/v27-physical-mass-and-hauling-recalibration-plan.md; game-design/whole-game-balance-baseline.md,docs_final/system-implementation-checklist.md
부분 이행,연구 180개·비폐기 건물 398개의 전략 포트폴리오 매핑,open,`(부분 이행)`,"현재 구현 권위: `ResearchProjectSO` 선행·해금·시설 요구, `BuildingSO` ability·분류 | 목표 설계 권위: [전략 빌드·연구·시설 포트폴리오 설계](game-design/strategic-build-and-progression-design.md) | 완료 조건: 문제 영역, 대체 경로, 채택 비용, 매몰비용, 약점, 환경·종족별 우위와 런별 미사용 경로를 전수 정의",game-design/strategic-build-and-progression-design.md,docs_final/system-implementation-checklist.md
부분 이행,아이템·조합식의 물리 BOM·내재 작업량·경제 비차익 전수 증명,open,`(부분 이행)`,"현재 구현 권위: 1,074개 아이템 정의, 생산 recipe, 물질수지와 출력 capability | 승인 권위: [전체 게임 밸런스 기준서](game-design/whole-game-balance-baseline.md) | 완료 조건: source digest가 있는 전수 감사와 악용 가능성 기록",game-design/whole-game-balance-baseline.md,docs_final/system-implementation-checklist.md
부분 이행,사건 콘텐츠의 operation·receipt·후속 반응 이행,open,`(부분 이행)`,"현재 구현 권위: 요구 조건 평가, item cost preflight, 즉시 effect executor, alert action | 목표 설계 권위: [시스템 콘텐츠 통합 설계](game-design/systemic-content-integration-design.md) | 콘텐츠 범위 권위: [시스템 콘텐츠 상세 카탈로그](game-design/systemic-content-event-catalog.md) | 완료 조건: 발생, 문맥 snapshot, 선택 command, 지속 operation, receipt, 흔적, 역반응과 중간 저장을 정의별로 연결",game-design/systemic-content-integration-design.md; game-design/systemic-content-event-catalog.md,docs_final/system-implementation-checklist.md
부분 이행,종족·문화·질병·생애 사건의 운영 차별성 검증,open,`(부분 이행)`,"현재 구현 권위: 문화별 시설 효용·사고 가중치, 건강·질병·가족·서비스 상태 | 완료 조건: 장기 런에서 재고 수요, 작업 배치, 생산 계획, 외교와 후속 사건의 차이를 기록",,docs_final/system-implementation-checklist.md
부분 이행,침입 doctrine·원정 조우·세력별 공급망 차별성 검증,open,`(부분 이행)`,"현재 구현 권위: 방어 정책, 교전, 36개 조우, 12개 세력과 계약/outbox | 완료 조건: 준비·전술·후유증·자원 기회비용과 세력별 공급망 차이를 대표 seed에서 확인",,docs_final/system-implementation-checklist.md
부분 이행,전수 콘텐츠 감사 자동화,open,`(부분 이행)`,"현재 구현 권위: 도메인별 definition validator와 Editor debug scenario | 목표 설계 권위: 전략 포트폴리오 설계와 시스템 콘텐츠 통합 설계의 감사 스키마 | 완료 조건: ID, 링크, registry, 물리 source/sink/transfer, 저장 version, 전략 역할, 후속 반응 누락을 하나의 manifest에서 검사",,docs_final/system-implementation-checklist.md
부분 이행,장기 런 전략 다양성 검증,open,`(검증 보류)`,"검증 대상: 미사용 연구·시설 비율, 전략 전환 비용, 실제 병목, 침입·원정의 기지 영향, 사건의 지속 결과, 저장 전후 digest | 완료 조건: 대표 seed·환경·종족 조합별 재현 가능한 결과 보고서",,docs_final/system-implementation-checklist.md
부분 이행,운영 원인 사슬과 계획 대비 실적 질의,open,`(부분 이행)`,"현재 구현 권위: 도메인별 실패 원인, 재고·예약·작업·네트워크 query와 일부 진단 view | 비교 설계 권위: [상용·인디 시스템 게임 설계 비교](game-design/reference-game-design-synthesis.md) | 완료 조건: 주요 건설·생산·물류·환경·전투 흐름에서 값, 최초 원인, 전파 경로, 추세, 대응 여유와 개입 전후 실적을 공통 형식으로 조회",game-design/reference-game-design-synthesis.md,docs_final/system-implementation-checklist.md
부분 이행,건설 현장 원장과 기반망 장애 구획,open,`(부분 이행)`,"현재 구현 권위: 건설 단계·작업량·재료, 전력·유체·컨베이어 네트워크와 도메인별 고장·파괴 처리 | 비교 설계 권위: [상용·인디 시스템 게임 설계 비교](game-design/reference-game-design-synthesis.md) | 완료 조건: 현장별 조달·운송·보관·시공·회수 원장과 네트워크별 차단·우회·완충·격리·단계 재가동 계약을 연결",game-design/reference-game-design-synthesis.md,docs_final/system-implementation-checklist.md
부분 이행,전투·원정 사후 결산,open,`(부분 이행)`,"현재 구현 권위: 교전 store, 원정 결과 이력, 귀환·도착 상태, 장비·탄약·포로·부상 상태 | 비교 설계 권위: [상용·인디 시스템 게임 설계 비교](game-design/reference-game-design-synthesis.md) | 완료 조건: 준비 인원·물자·기지 노출과 실제 소비·손실·회수·치료·생산 지연·세력 후과를 같은 원장으로 비교",game-design/reference-game-design-synthesis.md,docs_final/system-implementation-checklist.md
미구현,공용 전략 포트폴리오 작성 계약,open,`(미구현)`,"현재 구현 권위: 없음. `ResearchProjectSO`에는 선행·해금·시설 요구가 있으나 포트폴리오 역할, 대체 경로, 채택 비용과 전환 비용을 소유하는 공용 계약은 확인되지 않았다. | 설계 권위: [전략 빌드·연구·시설 포트폴리오 설계](game-design/strategic-build-and-progression-design.md)",game-design/strategic-build-and-progression-design.md,docs_final/system-implementation-checklist.md
미구현,공용 사건 operation·receipt·reaction 런타임,open,`(미구현)`,현재 구현 권위: 없음. 개별 도메인의 operation·receipt·outbox는 존재하지만 캠페인 사건 전체가 공유하는 수명주기 권위는 확인되지 않았다. | 설계 권위: [시스템 콘텐츠 통합 설계](game-design/systemic-content-integration-design.md),game-design/systemic-content-integration-design.md,docs_final/system-implementation-checklist.md
미구현,전수 콘텐츠 통합 manifest와 단일 감사기,open,`(미구현)`,"현재 구현 권위: 없음. 도메인별 validator는 존재하지만 전략 역할·물리 이행·흔적·역반응을 한 행에서 판정하는 공용 manifest는 확인되지 않았다. | 설계 권위: [시스템 콘텐츠 통합 설계](game-design/systemic-content-integration-design.md), [전략 빌드·연구·시설 포트폴리오 설계](game-design/strategic-build-and-progression-design.md)",game-design/systemic-content-integration-design.md; game-design/strategic-build-and-progression-design.md,docs_final/system-implementation-checklist.md
미구현,압력 기반 사건 편성 권위,open,`(미구현)`,"현재 구현 권위: 없음. 사건 요구 조건과 경보 aggregate는 있으나 현재 압력·최근 사건·미해결 관계·참여자 점유·준비 가능성·범주별 휴지기를 함께 소유하는 공용 편성 계층은 확인되지 않았다. | 설계 권위: [상용·인디 시스템 게임 설계 비교](game-design/reference-game-design-synthesis.md), [시스템 콘텐츠 통합 설계](game-design/systemic-content-integration-design.md)",game-design/reference-game-design-synthesis.md; game-design/systemic-content-integration-design.md,docs_final/system-implementation-checklist.md
