stable_id,target_integration,actual_cause,locked_context,escalation_stages,meaningful_choices,domain_execution,completion_receipt,persistent_trace,future_reaction,current_status
seasonal:spring-seed-exchange,C4,"균사 연합 상인이 희귀 종자·의약품을 생산품 교환으로 제안","상인 세력·종자·약제·생산품·저장·밭","교환 제안→재고·파종 경합→기회 소멸 또는 계약 의무","종자 중심 교환; 약제 중심 교환; 표준 재고 보존","화물 예약·검수·교환·파종 또는 의료 보관을 실행","교환 인도·종자 파종·약제 입고·미이행 기록","상인 신뢰·새 작물 경로·의료 비축","가을 수확·질병·세력 계약이 반응","설계 확정; 교역·농업·의료 runtime OPEN"
seasonal:spring-spore-rain,C4,"습한 포자가 균류 생산을 돕지만 호흡기 노출을 높임","균목림·환기·보호 의복·의료·작업자","포자 시작→생산 증대·노출 누적→호흡기 질환·구역 오염","보호 수확; 환기·격리; 생산 중단과 세정","수확·환기·의복 지급·세정·격리 작업을 실행","균류 산출·노출 기록·환기 상태·치료","포자 관리·작업자 건강·생산 이력","여름 연무·의료 수요·균사 계약이 반응","설계 확정; 환경·의료 runtime OPEN"
seasonal:spring-thaw-flood,C4,"해빙수가 낮은 농지와 운반 통로를 덮침","저지대 밭·배수·운반로·저장·수리 자재","수위 경보→통로 단절·작물 침수→저장 오염·복구 지연","배수 우선; 고지대 이송; 통로 폐쇄와 대체 경로","배수·운반·적치·수리·경로 재계산을 실행","수위 안정·재고 이송·통로 복구·작물 손실","침수 지형·배수 이력·우회 경로","여름 농업·물류·시설 투자에 반응","설계 확정; 지형·운반 runtime OPEN"
seasonal:spring-washed-road,C4,"폭우가 원정로와 외부 물자 도착 시간을 훼손","원정 경로·교역 화물·수리 인력·다리 또는 포장","비 경보→도착 지연·고립→계약 만기·원정 손실","길 수리; 호송 우회; 계약 연기와 내부 비축","수리·정찰·호송·운반·계약 교섭을 실행","복구 경로·지연 화물·만기 변경·원정 귀환","도로 상태·우회 비용·세력 약속","여름 교역·원정·계약 신뢰가 반응","설계 확정; 경로·기한 runtime OPEN"
seasonal:summer-dry-well,C4,"깨끗한 물 생산 저하가 농업과 손님 서비스를 압박","수원·저장·배관·밭·주방·객실","수량 저하→급수 배분→위생·작물·손님 서비스 실패","급수 우선 배정; 재이용 전환; 외부 물 운반","물 예약·배관 조정·운반·메뉴·파종 변경","급수량·중단 시설·작물·손님 서비스 기록","수원 취약·물 배분 규칙·위생 부채","겨울 배관·위생 투자·세력 평판이 반응","설계 확정; 물 권위 runtime OPEN"
seasonal:summer-festival-scarcity,C4,"주변 축제가 고급 식품 가격과 손님 메뉴 요구를 끌어올림","주방·고급 재료·손님·상인·축제 일정","수요 증가→재료 경쟁·메뉴 축소→계약 손실 또는 주민 배급 압력","고급 메뉴 우선; 주민 비축 우선; 축제 공동 구매","구매·조리·배식·계약·재고 배분을 실행","메뉴 제공·재료 소비·계약·배급 결과","메뉴 평판·가격 충격·비축 상태","가을 대상행렬·문화 축제·손님 요청이 반응","설계 확정; 경제·환대 runtime OPEN"
seasonal:summer-heat-grid,C4,"냉각과 의료가 동시에 가동되어 전력망을 압박","전력망·냉각·의료실·생산 시설·정비자","부하 경보→우선 시설 정전→열 질환·생산 중단","의료 우선; 구역 순환 정전; 임시 냉각과 작업 축소","부하 절단·정비·냉각·침상 배정·작업 조정을 실행","전력 이력·가동 시설·정전·치료·수리","열 취약 구역·전력 정책·정비 부채","마나 번개·겨울 전력·시설 진화가 반응","설계 확정; 전력·의료 runtime OPEN"
seasonal:summer-mana-lightning,C4,"비전 장치 과충전과 원정지의 희귀 결정 노출이 동시 발생","룬 설비·차단기·정비자·원정대·결정 저장","과충전 경보→장치 손상 또는 기회 소멸→공명 사고·원정 손실","구역 차단; 결정 회수 원정; 설비 유지와 소량 회수","부하 절단·수리·적재·원정·격리 작업을 실행","차단·손상·결정 반입·원정 귀환 기록","공명 취약·결정 재고·비전 설비 이력","겨울 심층 메아리·비전 계약·정전 사건이 반응","설계 확정; 공명·원정 runtime OPEN"
seasonal:summer-smoke-valley,C4,"산불 연기가 환기와 원거리 전투 시야를 악화","환기·보호 의복·경계탑·원거리 장비·의료","연무 시작→시야·환기 저하→호흡기 질환·경계 실패","환기 우선; 근거리 방어 전환; 외부 작업 중단","필터·환기·장비 교체·근무 조정·치료를 실행","공기 상태·근무 변경·전투 배치·환자 기록","연무 취약·장비 수선·방어 교리","포자비·침입·의료 수요가 반응","설계 확정; 환경·전투 runtime OPEN"
seasonal:summer-vermin-bloom,C4,"해충이 밭과 식량 창고를 오가며 번식","밭·창고·곡물·청소·방제 자재","발견→작물·재고 오염→식량 손실·질병 확산","밭 방제; 창고 격리; 수확 앞당김과 외부 구매","방제·청소·격리·수확·운반을 실행","방제 상태·격리 재고·수확·폐기 기록","해충 경로·식량 손실·창고 위생","가을 수확·주방·질병 사건이 반응","설계 확정; 농업·재고 runtime OPEN"
seasonal:summer-wounded-mercenaries,C4,"수인 연합 용병이 치료·탄약을 요구하며 추격자를 끌고 옴","용병·추격 세력·침상·탄약·객실·경비","접근→치료·탄약 경합→추격자 도착·세력 선택 강제","치료와 보급; 중립 호송; 입장 제한과 경계 강화","접수·치료·탄약 인도·호위·경비 배치를 실행","치료·인도·호송·교전·계약 결과","용병 신뢰·탄약 재고·추격 세력 적대","침입·군사 계약·손님 평판이 반응","설계 확정; 의료·전투·세력 runtime OPEN"
seasonal:winter-cave-flu-wave,C4,"밀폐 생활로 직원과 피난 손님 사이 공기 감염이 확산","환기·격리 침상·객실·약제·근무표","첫 환자→접촉·객실 확산→노동 공백·의료 포화","격리 병동; 객실 분산; 서비스 중단과 비축 배식","격리·환기·투약·배식·근무 재배치를 실행","감염 단계·격리·회복·중단 서비스 기록","유행 이력·환기 부채·손님 신뢰","봄 피난민·주방 위생·예방접종이 반응","설계 확정; 전염·숙박 runtime OPEN"
seasonal:winter-deep-echo,C4,"정숙한 동굴에서 진실 수호자 이동과 희귀 야생 흔적이 드러남","정찰·심부 경로·비전 감지·포획 장비·경비","신호→정찰 경합→추적 손실·수호자 대치 또는 기회 소멸","수호자 관찰; 희귀 추적; 심부 경계와 귀환 우선","정찰·감지·포획·호위·귀환 작업을 실행","발견·접촉·포획·귀환·대치 기록","심부 지도·수호자 태도·희귀 생태 이력","마나 번개·원정·세력 장이 반응","설계 확정; 탐사·생태 runtime OPEN"
seasonal:winter-frozen-pipes,C4,"노출 배관의 저온 지속이 물 공급과 의료실 운영을 위협","배관·연결 시설·물 저장·연료·수리 부품","결빙 경보→유량 저하·시설 중단→파손·오염·의료 대기","가열 유지; 수리; 수동 우회 급수","연료·부품 예약·수리·운반·시설 우선순위 변경","유량·수리·우회 급수·파손·오염 기록","취약 배관·비상 급수·수리 이력","봄 해빙·위생·시설 진화가 반응","설계 확정; 물·수리 runtime OPEN"
seasonal:winter-fuel-demand,C4,"주변 세력이 연료 계약을 요구해 난방과 외교가 충돌","연료 재고·난방 시설·세력 계약·운반·주민","요구→연료 배분·난방 저하→동상·계약 파기 또는 보복","연료 인도; 난방 우선; 대체 물자와 장기 계약","재고 예약·운반·난방 조절·집무 교섭을 실행","인도·실내 온도·계약·주민 피해 기록","연료 정책·세력 의무·겨울 비축","봄 신뢰·세력 지원·난방 투자에 반응","설계 확정; 연료·외교 runtime OPEN"
seasonal:winter-hungry-pack,C4,"먹이를 잃은 야생 무리가 가축과 쓰레기장을 습격","가축·폐기물·울타리·경비·수렵자","흔적→반복 습격·가축 손실→둥지 정착·방어 피로","폐기물 관리; 축사 방어; 추적·수렵 원정","청소·울타리·경비·유인·수렵을 실행","습격 결과·가축 상태·폐기물·무리 이동","야생 경로·외곽 방어·가축 손실","봄 이동 초식군·포식자·축산 회복이 반응","설계 확정; 생태·방어 runtime OPEN"
seasonal:winter-memorial-envoys,C4,"골렘 연합 사절이 공동 추모와 오래된 원한 처리를 요구","사절·추모 공간·유물·기록·세력 계약·경비","도착→의례·기록 갈등→공개 결렬·관계 악화 또는 화해","공동 추모; 기록 공개 심사; 유물 반환·보호","행사 준비·기록 열람·유물 운반·경비·교섭을 실행","참여·판정·유물 상태·세력 결과","추모 이력·원한 상태·유물 소유·세력 신뢰","유산·계약·골렘 지원 또는 보복이 반응","설계 확정; 기록·유물·세력 runtime OPEN"
seasonal:winter-whiteout,C4,"눈보라가 원정 시야와 외부 물류를 거의 끊음","원정대·경로·화물·비축·경계·통신","경보→출발 중단·도착 지연→고립·기한 실패·구조 필요","원정 철수; 내부 비축; 구조 호송과 경로 표지","귀환·비축 배급·호송·표지·계약 변경을 실행","귀환 상태·지연 화물·배급·구조 기록","백색암흑 경로·비축 소모·기한 이력","봄 도로 복구·세력 신뢰·원정 계획이 반응","설계 확정; 물류·원정 runtime OPEN"
