stable_id,display_name,problem,solution_family,portfolio_role,player_commitment,delayed_alternative,weakness_and_pressure,activation_receipt,transition_or_recovery,first_milestone_skip,balance_and_implementation_status
research:industry:electric-lighting,산업 조명,동력과 산업화,산업 작업 환경,확장,"전력·배선·정비를 저조도 작업 구역과 안전한 생산 동선에 배정한다",새 가공 설비·실내 생활 공간·마나 설비,"정전·배선 손상·빛 공해와 문화 충돌·전력 경합",조명이 실제 작업 안전 또는 처리 지연을 개선한 기록,"휴대 조명·작업 시간 조정·수동 공정으로 정전 시간을 넘긴다",가능,"설계 확정; 조도·전력·안전·문화 비용은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:electric-smelting,전기 제련과 산업 냉각,동력과 산업화,고온 정밀 산업,주력 정착,"고출력 전력·냉각·광석·정비를 제련과 정밀 부품 생산에 집중한다",일반 단조·외부 부품 조달·군수 분산 생산,"전력 피크·냉각 실패·광석 병목·산업 사고",제련·냉각·후속 정밀 부품 생산이 실제로 연속 가동된 기록,"일반 단조·부하 절단·광석 비축으로 고온 공정 중단을 견딘다",가능,"설계 확정; 열·전력·냉각·처리량·사고는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:industry:dark-foundry,심연 공장,동력과 산업화,고밀도 마나 산업,주력 정착,"흑강·마나·심층 공간·전문 정비를 후기 고밀도 자동 생산에 묶는다",일반 전기 산업 확장·외부 희귀품 조달·비전 의료,"희귀 재료·공명·심층 위험·대형 공통 고장",심연 공장이 실제 고급 부품 또는 자동 생산을 지속 공급한 기록,"기존 공장·구역 봉쇄·비상 생산으로 심층 공정 손실을 제한한다",가능,"설계 확정; 흑강·마나·공간·출력·위험은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:material-testing,재료 시험학,동력과 산업화,정밀 공정 기반,전환 연결,"고급 시편·검사·숙련을 장비와 자동화의 재료 판단에 배정한다",즉시 장비 생산·대량 공정 증설,"시험 실패·시편 소모·검사 병목·잘못된 허용 오차",실제 재료 판정이 후속 공정 또는 장비 선택을 바꾼 기록,"표준 재료·수동 검사·보수적 규격으로 시험 설비를 우회한다",가능,"설계 확정; 시편·검사 WU·불량률·공간은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:prototype-engineering,시제품 공학,동력과 산업화,정밀 공정 기반,전환 연결,"시험 결과·공장 배치·전문 인력을 반복 가능한 시제품과 정식 공정 사이에 배정한다",안정된 표준품 생산·다른 문명 연구,"시제품 실패·라인 점유·희귀 재료 소모·출시 지연",시제품 완료 기록이 정식 생산 또는 설계 선택을 실제로 열어 준 기록,"표준품·외부 조달·기존 장비로 시제품 실패의 공백을 넘긴다",가능,"설계 확정; 시제품 작업·재료·성공 조건·회수는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:industrial-metrology,산업 계측학,동력과 산업화,정밀 자동화,확장,"계측 장비·보정 시간·공정 데이터를 대량 생산의 품질 관리에 배정한다",새 생산라인·군수 장비·마나 연구,"측정 드리프트·보정 중단·전문가 병목·기록 오류",계측 결과가 실제 자동 생산의 편차와 손실을 바꾼 기록,"표준 공정·수동 검수·낮은 처리량으로 계측 장애를 수습한다",가능,"설계 확정; 보정·측정 정확도·품질·노동은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:precision-fitting,정밀 부품 장착,장비와 역사 진화,모듈 장비 골격,입문,"전동 공구·측정·복원 부품을 특정 장비의 슬롯과 정비 이력에 결속한다",새 무기 계통·대량 방어구 생산·시설 자동화,"장착 실패·부품 손상·정비 시설 경합·전문 숙련 부족",실제 장비 인스턴스에 부품을 장착하고 전투 또는 작업에 사용한 기록,"표준 장비·부품 분리·수리 주문으로 장착 실패를 회복한다",가능,"설계 확정; 부품 효과·장착 WU·손실·정비는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:modular-frames,모듈식 장비 골격,장비와 역사 진화,모듈 장비 골격,확장,"공유 치수·강철 골격·정밀 부품을 성장형 장비 계열에 집중한다",새 장비 형식·산업 자동화·즉시 전력 증설,"골격 표준화 비용·부품 경쟁·장비 정비 부담",하나의 장비가 실제 부품·사용 이력·수리와 함께 성장한 기록,"기본 장비·부품 회수·정비 우선순위로 성장 장비 손실을 제한한다",가능,"설계 확정; 골격 BOM·부품 상성·수리·역사 효과는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:rune-module-tuning,룬 부품 조율,장비와 역사 진화,비전 장비 전환,전환 연결,"정밀 장착·마나 전력·공명 작업을 룬 부품과 특정 장비 계열에 집중한다",물리 부품·일반 장비 생산·다른 비전 프로젝트,"공명 실패·마나 경합·룬 부품 손실·정비 전문성",룬 부품이 실제 장비 상태와 비전 전력 조건에서 작동한 기록,"물리 부품·표준 장비·마나 부하 절단으로 조율 실패를 수습한다",가능,"설계 확정; 공명·마나·부품 효과·손실은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:powered-armor,동력 보조 갑주,방어와 외부 위협,정밀 산업 전투 장비,주력 정착,"전력·정밀 부품·정비·숙련된 전투 인력을 소수 정예 장비에 집중한다",다수의 표준 장비·요새 시설·원정 보급,"전력 고갈·정비 부품 부족·장비 집중으로 인한 예비 방어 약화",장착한 주민이 실제 전투 또는 중량 작업에서 장비 효과를 사용한 기록,"표준 방어구·부하 절단·수리 우선순위로 동력 갑주 정지를 견딘다",가능,"설계 확정; 장비 기여·전력·정비·내구·상성은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:black-powder,흑색화약 배합,방어와 외부 위협,화약 군수 입문,입문,"숯·증류 약재·안전 작업대·보관 규칙을 탄약 생산에 배정한다",궁시·근접 장비·비군수 산업 확장,"화재·폭발·보관 사고·재료의 의료 경합",실제 화약 생산·안전 보관·탄약 소비가 전투 보급과 연결된 기록,"궁시·요새 지형·탄약 절약으로 화약 공정 사고를 넘긴다",가능,"설계 확정; 화약 BOM·위험·보관·탄약 효과는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:ignition-mechanisms,점화 기구학,방어와 외부 위협,화약 군수 확장,확장,"강철 격발부·규격·정밀 공정을 휴대 화기 신뢰도와 장비 정비에 배정한다",단순 화약 무기·요새 방어·다른 산업 설비,"오작동·정비 부품 부족·습기·정밀 공정 병목",점화 장치가 실제 장비 인스턴스의 전투 준비도와 탄약 사용에 반영된 기록,"기존 화약·궁시·수동 정비로 격발 장치 고장을 수습한다",가능,"설계 확정; 신뢰도·정비·재료·전투 상성은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:pressure-barrels,내압 화기와 방폭,방어와 외부 위협,화약 군수 주력,주력 정착,"내압 부품·방폭 시설·정밀 정비·탄약 물류를 고위험 군수망에 결속한다",다수의 저위험 장비·요새 확장·외교 방위,"폭발·배럴 피로·탄약 공급 단절·정비 공백",실제 방폭 공정·탄약 준비·장비 사용이 원정 또는 방어 결과로 이어진 기록,"기존 화기·궁시·구역 격리·수리로 고위험 군수망을 복구한다",가능,"설계 확정; 내구·폭발 위험·탄약·정비·전투 효과는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:equipment:standard-ammunition,탄약 규격화,방어와 외부 위협,군수 물류,확장,"화약·탄약통·포장·물류 규격을 여러 무기와 방어 보급에 결속한다",새 무기 연구·일반 생산·외부 구매,"규격 전환 손실·재고 분절·탄약 과잉·포트 막힘",실제 탄약이 장착한 무기와 원정·방어 보급에 정확히 전달된 기록,"비규격 탄약·수동 보급·장비 교체로 물류 실패를 수습한다",가능,"설계 확정; 탄약 수량·포장·운반·호환·소모는 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
research:service-automation,서비스 자동화,현금·희귀 자원·대외경제,환대 서비스 자동화,주력 정착,"접수·순번·보온·객실 배정·정비를 서비스 구역의 전력과 정책에 결속한다",제조 수출·수동 환대·외부 계약 투자,"예약 오류·정전·문화 요구 누락·서비스 사고의 빠른 확산",실제 손님 요청이 자동 보조를 거쳐 서비스 영수증과 결과로 이어진 기록,"수동 접수·객실 축소·보상·검역으로 자동 서비스 실패를 수습한다",가능,"설계 확정; 대기·처리량·전력·정비·평판 영향은 밸런스 기준 배정; 실제 가동·사건 연결 검증 OPEN"
