type,kind,definition_path,definition_line,inventory_scope,domain_group,domain_group_name,classification,classification_reason,coverage_disposition,coverage_reason,intended_ledger_status,integration_status,integration_reason,producer_count,producer_sites,publish_count,subscriber_count,participant_member_candidates,metric_member_candidates,current_transaction_boundary,joint_commit_feasibility,outcome_save_owner,domain_state_save_owner_candidates,ui_paths,query_paths,narrative_paths
DefenseFacilityStateChangedEvent,struct,Assets/Scripts/Models/Defense/Core/DefenseDomain.cs,384,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"DefenseFacilityStateChangedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Defense/DefenseFacilityRuntime.cs:921:DefenseFacilityRuntime.DomainFailure,1,0,facilityPersistentId,state,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Defense/DefenseFacilityRuntime.cs,
DefenseFacilityTriggeredEvent,struct,Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs,189,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"DefenseFacilityTriggeredEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs:345:DefenseFacility.DefenseFacilityTriggeredEvent,1,4,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs | Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireProducerAdapters.cs,Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordEventRecorder.cs | Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecordRuntime.cs
DefenseFrontCollapsedEvent,struct,Assets/Scripts/Services/Invasion/InvasionIntruderEvents.cs,55,pre-existing-runtime-candidate,2,전투·침입·의료·생포·사망,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"DefenseFrontCollapsedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Invasion/DefenseEngagementCombatRuntime.cs:202:DefenseEngagementCombatRuntime.DefenseEngagementCombatRuntime,1,1,,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CaptivitySaveSection | CharacterBodyHealthSaveSection | CharacterCombatCommandSaveSection | CharacterMedicalSaveSection | InvasionSaveSection | SurgerySaveSection,,,
DungeonRunFlowEvent,struct,Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs,15,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,run-flow reducer input/projection envelope; record its authoritative source transitions instead,NonResult,run-flow reducer input/projection envelope; record its authoritative source transitions instead,N/A,excluded,run-flow reducer input/projection envelope; record its authoritative source transitions instead,12,Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:40:DungeonRunFlowEvent.DayStarted | Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:43:DungeonRunFlowEvent.RehearsalSchedulingResolved | Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:55:DungeonRunFlowEvent.BossInvasionStarted | Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:64:DungeonRunFlowEvent.InvasionResolved | Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:75:DungeonRunFlowEvent.TruthRevealed | Assets/Scripts/Content/CoreSession/DungeonRunFlowReducer.cs:84:DungeonRunFlowEvent.OwnerRunEnded | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:122:DungeonRunFlowApplicationAdapter.DayStarted | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:128:DungeonRunFlowApplicationAdapter.BossInvasionStarted | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:138:DungeonRunFlowApplicationAdapter.InvasionResolved | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:155:DungeonRunFlowApplicationAdapter.TruthRevealed | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:163:DungeonRunFlowApplicationAdapter.OwnerRunEnded | Assets/Scripts/Services/Run/DungeonRunFlowApplicationAdapter.cs:228:DungeonRunFlowApplicationAdapter.RehearsalSchedulingResolved,0,0,,day | outcome | rehearsalDay,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,,
EmergencyWorkSuspensionReceipt,struct,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,78,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"EmergencyWorkSuspensionReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs:3418:WorkTaskExecutor.CharacterId,0,0,targetBuildingId,inlineCompletedWork | inlineRequiredWork | progressExternallyPersisted | workTypeId,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Character/Ability/AbilityWork.cs | Assets/Scripts/Services/Character/AI/CharacterAlarmResponseRuntime.cs | Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,
EnvironmentalFireFuelLossReceipt,struct,Assets/Scripts/Models/Environment/Core/EnvironmentalFireDomain.cs,340,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"EnvironmentalFireFuelLossReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs:780:DamageCommit.CreateFuelLossReceipt | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireRuntime.cs:1470:in.IgnitionRecord,0,0,target,inputMassGrams | quantity,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireRuntime.cs,
EnvironmentalFireWaterReceipt,struct,Assets/Scripts/Models/Environment/Core/EnvironmentalFireDomain.cs,473,pre-existing-runtime-candidate,7,환경·농업·야생동물·질병·재난,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"EnvironmentalFireWaterReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",3,Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs:580:DamageCommit.CharacterId | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs:609:DamageCommit.CharacterId | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireRuntime.cs:1608:SuppressionOperation.Vector2Int,0,0,,quantity,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterEnvironmentSaveSection | CropEcologySaveSection | CropPlotSaveSection | EnvironmentalFieldSaveSection | EnvironmentalFireSaveSection | PopulationHealthSaveSection | WildlifeSaveSection,,Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireApplicationAdapters.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalFireRuntime.cs,
EquipmentStoredEvent,struct,Assets/Scripts/Models/Items/Core/ItemPrimitives.cs,63,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"EquipmentStoredEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Items/ItemTransferService.cs:3389:in.<unknown>,1,0,equipmentId,quantity,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Items/ItemTransferService.cs,
EventAlertLoggedEvent,struct,Assets/Scripts/Models/Operation/Core/EventAlertEvents.cs,14,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,derived alert-log notification; source gameplay outcome must be captured upstream,NonResult,derived alert-log notification; source gameplay outcome must be captured upstream,N/A,excluded,derived alert-log notification; source gameplay outcome must be captured upstream,1,Assets/Scripts/Views/UI/Core/EventAlertRuntime.cs:137:EventAlertRuntime.DomainFailureLocalizer,1,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,Assets/Scripts/Views/UI/Core/EventAlertRuntime.cs,Assets/Scripts/Services/Operation/OperatingDaySettlementApplicationAdapter.cs,
EventAlertRequestedEvent,struct,Assets/Scripts/Models/Operation/Core/EventAlertEvents.cs,5,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,"UI alert request, not authoritative result",NonResult,"UI alert request, not authoritative result",N/A,excluded,"UI alert request, not authoritative result",29,Assets/Scripts/Models/Operation/Core/EventAlertService.cs:21:GameEventBusAlertExtensions.<unknown> | Assets/Scripts/Models/Operation/Core/EventAlertService.cs:22:GameEventBusAlertExtensions.EventAlertRequestedEvent | Assets/Scripts/Services/Captivity/CaptivityInterrogationInformationRuntime.cs:184:CaptivityInterrogationInformationRuntime.CharacterId | Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs:1675:ParticipantRuntime.<unknown> | Assets/Scripts/Services/Character/PhysicalAgeTreatmentRuntime.cs:451:in.TemporalStasisMaintenanceAdapter | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs:1373:CertifiedSeedApplicationAdapter.CertifiedSeedApplicationAdapter | Assets/Scripts/Services/Run/FestivalVenueAlertApplicationAdapter.cs:77:FestivalVenueAlertApplicationAdapter.FestivalVenueAlertApplicationAdapter | Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs:1140:GuestRequestDeliveryRuntime.EventAlertChoice | Assets/Scripts/Services/Run/MilestonePressureApplicationAdapter.cs:237:in.MilestonePressureApplicationAdapter | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs:275:SeasonalWildlifeVisitorApplicationAdapter.Vector2Int | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs:309:SeasonalWildlifeVisitorApplicationAdapter.Vector2Int | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs:707:SeasonalWildlifeVisitorApplicationAdapter.Vector2Int | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs:735:SeasonalWildlifeVisitorApplicationAdapter.Vector2Int | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:104:V20SocietyEventAlertProjection.V20ContentEffectsResolvedEvent | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:420:V20CampaignApplicationAdapter.V20CampaignApplicationAdapter | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1903:V20CampaignApplicationAdapter.DomainFailure | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1962:V20CampaignApplicationAdapter.DomainFailure | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:1989:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2006:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2048:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2066:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2095:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2126:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2153:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2235:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2427:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs:2478:V20CampaignApplicationAdapter.EventAlertChoice | Assets/Scripts/Views/UI/CharacterSummaryShellPresenter.cs:281:CharacterSummaryShellPresenter.CharacterSummaryShellPresenter | Assets/Scripts/Views/UI/CharacterSummaryShellPresenter.cs:523:CharacterSummaryShellPresenter.CharacterSummaryShellPresenter,28,1,,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,Assets/Scripts/Views/UI/CharacterSummaryShellPresenter.cs | Assets/Scripts/Views/UI/Core/EventAlertRuntime.cs,Assets/Scripts/Services/Captivity/CaptivityInterrogationInformationRuntime.cs | Assets/Scripts/Services/Character/FestivalExecutionRuntime.cs | Assets/Scripts/Services/Character/PhysicalAgeTreatmentRuntime.cs | Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs | Assets/Scripts/Services/Run/FestivalVenueAlertApplicationAdapter.cs | Assets/Scripts/Services/Run/GuestRequestDeliveryRuntime.cs | Assets/Scripts/Services/Run/MilestonePressureApplicationAdapter.cs | Assets/Scripts/Services/Run/SeasonalWildlifeVisitorApplicationAdapter.cs | Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs | Assets/Scripts/Views/UI/CharacterSummaryShellPresenter.cs,
EventAlertSourceResolvedEvent,struct,Assets/Scripts/Models/Operation/Core/EventAlertEvents.cs,29,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,NonResult,UI alert lifecycle signal; no live producer found,NonResult,UI alert lifecycle signal; no live producer found,N/A,excluded,UI alert lifecycle signal; no live producer found,0,,0,1,sourceId,,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,Assets/Scripts/Views/UI/Core/EventAlertRuntime.cs,,
ExpectedReceipt,class,Assets/Scripts/Services/Combat/EquipmentEvolutionMaterialRestoreGuard.cs,231,pre-existing-runtime-candidate,6,장비·특성·기술·시설 진화,NonResult,private restore-guard expectation object; the actual equipment material commit is the replacement authority,NonResult,private restore-guard expectation object; the actual equipment material commit is the replacement authority,N/A,excluded,private restore-guard expectation object; the actual equipment material commit is the replacement authority,1,Assets/Scripts/Services/Combat/EquipmentEvolutionMaterialRestoreGuard.cs:214:EquipmentEvolutionMaterialRestoreGuard.EquipmentEvolutionMaterialRestoreGuard,0,0,sourceStackIds,massGrams | quantity,N/A: excluded non-result signal/detail,N/A,none-found: receipt/event is not persisted as a GameplayOutcome,CharacterNarrativeSaveSection | CharacterWorldSaveSection | CombatEquipmentSaveSection | EquipmentEvolutionSaveSection | ModularFacilityWorldSaveSection,,Assets/Scripts/Services/Combat/EquipmentEvolutionMaterialRestoreGuard.cs | Assets/Scripts/Services/Factions/FactionRuntime.cs,
ExpeditionOutcomeEvent,struct,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs,524,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ExpeditionOutcomeEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Offense/OffenseExpeditionResultFinalizer.cs:168:OffenseExpeditionResultFinalizer.OffenseExpeditionResultFinalizer,1,2,expeditionId,day | outcomeId,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Character/Core/CharacterAcquiredTraitSpecialReaction.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs | Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityRuntime.cs | Assets/Scripts/Services/Offense/OffenseExpeditionResultFinalizer.cs,Assets/Scripts/Services/Character/Identity/Runtime/CharacterIdentityDomainAdapters.cs
ExteriorVisitorReceptionAppliedEvent,struct,Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs,154,pre-existing-runtime-candidate,3,원정·외부 활동·세력·사건·축제,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"ExteriorVisitorReceptionAppliedEvent is a result-bearing struct for a completed/resolved gameplay state transition; retain it as a Record candidate rather than a request, preview, start, progress, or UI notification.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs:508:ExteriorIncidentHandlerBase.ExteriorIncidentHandlerBase,1,0,visitorId,,post-state observer publish; no durable result/outcome joint commit found,requires detached transaction or rollback-capable owner integration before publish,none-found: receipt/event is not persisted as a GameplayOutcome,ExteriorActivitySaveSection | FactionSaveSection | OffenseAggregateSaveSection | RunFlowSaveSection | RunVariableSaveSection | SeasonalWorldEventsSaveSection,,Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs,
FacilityBufferMassAdmissionReceipt,struct,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs,251,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"FacilityBufferMassAdmissionReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",1,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs:1797:PlannedOutputTokenState.<unknown>,0,0,,,receipt construction/capture only; exact commit boundary not proven,needs owner-specific transaction audit,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs | Assets/Scripts/Services/Items/ItemTransferService.cs | Assets/Scripts/Services/Items/WorldItemWarehouseService.cs,
FacilityBufferPlannedOutputPublicationReceipt,struct,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs,565,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"FacilityBufferPlannedOutputPublicationReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",5,Assets/Scripts/Services/Economy/ProductionDomainOutputPublicationService.cs:366:ProductionDomainOutputPublicationService.ProductionDomainOutputPublicationService | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs:1725:ApparelPhysicalTransaction.PhysicalMassGrams | Assets/Scripts/Services/Items/FacilityBufferPlannedOutputPublicationService.cs:1634:in.CreateReceipt | Assets/Scripts/Services/Medical/SurgicalPartPreparedOutputDebugScenarios.cs:509:PublicationFake.PublicationFake | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs:1899:SurgicalPartRuntime.PhysicalMassGrams,0,0,ownerDomain | ownerFacilityId | ownerOperationId,outcomeFingerprint,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Economy/ProductionDomainOutputPublicationService.cs | Assets/Scripts/Services/Economy/ProductionPreparedOutputExecutionAdapter.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputHandler.cs | Assets/Scripts/Services/Items/Diagnostics/FacilityOutputExactRouteDebugScenarios.cs | Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs | Assets/Scripts/Services/Items/FacilityBufferPlannedOutputPublicationService.cs | Assets/Scripts/Services/Items/PhysicalItemExactSourcePublicationService.cs | Assets/Scripts/Services/Medical/SurgicalPartProductionOutputHandler.cs | Assets/Scripts/Services/Medical/SurgicalPartRuntime.cs,
FacilityBufferPlannedOutputReceipt,struct,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs,612,pre-existing-runtime-candidate,1,작업·생산·품질·연구·건설·수리,needs-authority-fix,result-like producer exists but no GameplayOutcome adapter/descriptor/joint outbox is implemented,Record,"FacilityBufferPlannedOutputReceipt is a result-bearing struct carrying exact post-operation data; retain it as a Record candidate, subject to owner commit proof and duplicate suppression.",planned,transaction-integration-pending,"A semantic Record candidate exists, but owner-specific TryPrepare/joint outbox/save/replay proof is absent.",2,Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs:2098:PlannedOutputTokenState.<unknown> | Assets/Scripts/Services/Medical/SurgicalPartPreparedOutputDebugScenarios.cs:433:AdmissionFake.PhysicalMassGrams,0,0,,,existing domain commit/outbox terms nearby; no gameplay-outcome joint outbox,possible via existing transaction/outbox adapter; requires owner-specific proof,none-found: receipt/event is not persisted as a GameplayOutcome,BlueprintResearchSaveSection | ModularFacilityWorldSaveSection | ProductionBillsSaveSection | ProductionPreparedOutputRoutingSaveSection | WorkOrdersSaveSection,,Assets/Scripts/Services/Economy/ProductionDomainOutputPublicationService.cs | Assets/Scripts/Services/Economy/ProductionPreparedOutputExecutionAdapter.cs | Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs | Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputHandler.cs | Assets/Scripts/Services/Items/FacilityBufferMassAdmissionService.cs | Assets/Scripts/Services/Items/FacilityBufferPlannedOutputPublicationService.cs | Assets/Scripts/Services/Items/PhysicalItemExactSourcePublicationService.cs | Assets/Scripts/Services/Medical/SurgicalPartProductionOutputHandler.cs,
