content_type,code_system,architecture_system_ids,consumer_evidence_count,type_scope_count,exact_stable_id_count,exact_stable_ids,code_roles,source_paths,consumer_csv
BuildingSO,services:buildings,,16,14,2,building:runtime:world-filth-work-target; building:runtime:world-resource-node,content-loading; runtime,Assets/Scripts/Services/Buildings/Abilities/BuildingAbilityAccessors.cs; Assets/Scripts/Services/Buildings/BuildableObject.SpatialAndInteraction.cs; Assets/Scripts/Services/Buildings/BuildableObject.StateAndCapabilities.cs; Assets/Scripts/Services/Buildings/BuildableObject.cs; Assets/Scripts/Services/Buildings/BuildingStructuralIntegrityRuntime.cs; Assets/Scripts/Services/Buildings/BuildingSummaryFormatter.cs; Assets/Scripts/Services/Buildings/Door.cs; Assets/Scripts/Services/Buildings/Facility.cs; Assets/Scripts/Services/Buildings/FacilityOperationalData.cs; Assets/Scripts/Services/Buildings/InteriorDoor.cs; Assets/Scripts/Services/Buildings/ModularFacilityInitialPlacementMigrator.cs; Assets/Scripts/Services/Buildings/RuntimeBuildingArchetypeCatalog.cs; Assets/Scripts/Services/Buildings/SO/BuildingDefinitionIdentity.cs; Assets/Scripts/Services/Buildings/Shop.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:captivity,,1,1,0,,runtime,Assets/Scripts/Services/Captivity/CircusProgramForecastProjectionAdapter.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:character,architecture-system:04,18,9,9,building:8813; building:8847; building:8859; building:8873; building:8874; building:8876; building:8879; building:8881; building:8885,ai-decision; persistence; runtime,Assets/Scripts/Services/Character/AI/FacilityCandidateScorer.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs; Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs; Assets/Scripts/Services/Character/DiseaseFieldResponseRuntime.cs; Assets/Scripts/Services/Character/FuneralFestivalRuntime.cs; Assets/Scripts/Services/Character/ReproductionCommandRuntime.cs; Assets/Scripts/Services/Character/SO/CharacterSO.cs; Assets/Scripts/Services/Character/Work/CharacterWorkPerformanceContextResolver.cs; Assets/Scripts/Services/Character/Work/WorkAmountSystem.cs; Assets/Scripts/Services/Character/Work/WorkOrderContracts.cs; Assets/Scripts/Services/Character/Work/WorkOrderSaveValidation.cs; Assets/Scripts/Services/Character/Work/WorkTaskExecutor.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:codex,,1,1,0,,runtime,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:combat,,2,2,0,,content-loading; runtime,Assets/Scripts/Services/Combat/CombatCraftDefinitionCatalog.cs; Assets/Scripts/Services/Combat/EquipmentProgressionCraftOperationContributor.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:debugging,,1,1,0,,runtime,Assets/Scripts/Services/Debugging/DungeonDebugCommandProviders.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:defense,,1,1,0,,runtime,Assets/Scripts/Services/Defense/DefenseFacilitySystem.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:economy,architecture-system:06; architecture-system:07,20,20,0,,content-loading; persistence; runtime,Assets/Scripts/Services/Economy/ApparelTailoringFacilityEligibility.cs; Assets/Scripts/Services/Economy/CertifiedSeedFacilityEligibility.cs; Assets/Scripts/Services/Economy/CropHarvestOutputMaximumAuthority.cs; Assets/Scripts/Services/Economy/CropHarvestSpecialThroughputContributor.cs; Assets/Scripts/Services/Economy/Diagnostics/ProductionOutputDestinationLifecycleDebugScenarios.cs; Assets/Scripts/Services/Economy/ProductionAssemblyBridgeAdapter.cs; Assets/Scripts/Services/Economy/ProductionAuthoredThroughputFacilityScopeAuthority.cs; Assets/Scripts/Services/Economy/ProductionFacilityDestructiveDrainCrossAggregateSaveValidation.cs; Assets/Scripts/Services/Economy/ProductionFacilityEvolutionWorkRateMaximumContributor.cs; Assets/Scripts/Services/Economy/ProductionFacilityOutputCensus.cs; Assets/Scripts/Services/Economy/ProductionMaximumOutputFactorCatalog.cs; Assets/Scripts/Services/Economy/ProductionOutputBufferCapacityProjector.cs; Assets/Scripts/Services/Economy/ProductionOutputClearanceExecutableDescriptorRegistry.cs; Assets/Scripts/Services/Economy/ProductionOutputClearanceMeasurementScopeAuthority.cs; Assets/Scripts/Services/Economy/ProductionRecipeWorkRateMaximumContributors.cs; Assets/Scripts/Services/Economy/ProductionWorkshopAbilities.cs; Assets/Scripts/Services/Economy/ResourceEconomyContentCatalog.cs; Assets/Scripts/Services/Economy/V23BalanceWorkCalculator.cs; Assets/Scripts/Services/Economy/V27BalanceWorkCalculator.cs; Assets/Scripts/Services/Economy/V27PopulationCapacityModels.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:facilityevolution,architecture-system:19,8,8,0,,runtime,Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionPendingMaterialProjection.cs; Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRecipeSO.cs; Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionRuntime.cs; Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionService.cs; Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionStateComponent.cs; Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionWorkSpeedDefinitionMaximumQuery.cs; Assets/Scripts/Services/FacilityEvolution/FacilityRelocationWorldService.cs; Assets/Scripts/Services/FacilityEvolution/RoomProfile.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:facilityshop,,1,1,0,,runtime,Assets/Scripts/Services/FacilityShop/FacilityShopSystem.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:grid,architecture-system:03,6,6,0,,runtime,Assets/Scripts/Services/Grid/Building/ConstructionSafetyPlanner.cs; Assets/Scripts/Services/Grid/Building/ConstructionSite.cs; Assets/Scripts/Services/Grid/Building/GridBuildingObjectFactory.cs; Assets/Scripts/Services/Grid/Building/GridBuildingRuntime.cs; Assets/Scripts/Services/Grid/Placement/GridPlacementValidator.cs; Assets/Scripts/Services/Grid/Rendering/GridTexture.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:infrastructure,architecture-system:07; architecture-system:10; architecture-system:15,17,16,1,building:8851,content-loading; persistence; runtime,Assets/Scripts/Services/Infrastructure/BlueprintResearchContracts.cs; Assets/Scripts/Services/Infrastructure/BlueprintResearchRuntime.cs; Assets/Scripts/Services/Infrastructure/CodexReferenceCatalogServices.cs; Assets/Scripts/Services/Infrastructure/DataCatalogService.cs; Assets/Scripts/Services/Infrastructure/Diagnostics/GameplayPerformanceWorldConfigurator.cs; Assets/Scripts/Services/Infrastructure/Environment/ClimateRuntime.cs; Assets/Scripts/Services/Infrastructure/Exterior/ExteriorZoneMarker.cs; Assets/Scripts/Services/Infrastructure/FacilityShopRuntimeProvider.cs; Assets/Scripts/Services/Infrastructure/Industrial/ElectricalNetworkRuntime.cs; Assets/Scripts/Services/Infrastructure/Industrial/FluidNetworkBatchDebugContract.cs; Assets/Scripts/Services/Infrastructure/Industrial/IndustrialInfrastructureTopology.cs; Assets/Scripts/Services/Infrastructure/MetaProgressionRuntimeProvider.cs; Assets/Scripts/Services/Infrastructure/ModularFacilityWorldSaveService.cs; Assets/Scripts/Services/Infrastructure/ResearchRewardCatalogAdapter.cs; Assets/Scripts/Services/Infrastructure/RunVariableCatalogServices.cs; Assets/Scripts/Services/Infrastructure/RunVariableRuntimeProvider.cs; Assets/Scripts/Services/Infrastructure/Save/DungeonAggregateReferencePreflight.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:invasion,,3,3,0,,runtime,Assets/Scripts/Services/Invasion/InvasionCombatReportSystem.cs; Assets/Scripts/Services/Invasion/InvasionDefenseKitSupplyRuntime.cs; Assets/Scripts/Services/Invasion/InvasionThreatWorldSampler.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:meta,architecture-system:15,1,1,0,,runtime,Assets/Scripts/Services/Meta/MetaRuntimeApplicationAdapter.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:offense,,5,5,0,,runtime,Assets/Scripts/Services/Offense/OffenseRewardContextResolver.cs; Assets/Scripts/Services/Offense/OffenseRewardModel.cs; Assets/Scripts/Services/Offense/OffenseRewardSystem.cs; Assets/Scripts/Services/Offense/OffenseRuntimeServices.cs; Assets/Scripts/Services/Offense/OffenseWorldMapModel.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:operation,,1,1,0,,runtime,Assets/Scripts/Services/Operation/OperatingDaySettlementApplicationAdapter.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:run,architecture-system:16,15,5,10,building:8868; building:8869; building:8870; building:8871; building:8872; building:8873; building:8874; building:8876; building:8879; building:8885,persistence; runtime,Assets/Scripts/Services/Run/RunStartVariableSelector.cs; Assets/Scripts/Services/Run/RunVariableEffects.cs; Assets/Scripts/Services/Run/RunVariableSystem.cs; Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs; Assets/Scripts/Services/Run/V20ContentResolutionService.cs; Assets/Scripts/Services/Run/V20MilestoneWorldSnapshotProjector.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:servicerooms,,1,1,0,,runtime,Assets/Scripts/Services/ServiceRooms/ServiceRoomAbilities.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:survival,architecture-system:10,2,2,0,,runtime,Assets/Scripts/Services/Survival/SurvivalFacilityUtility.cs; Assets/Scripts/Services/Survival/WorldFilthRuntime.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,services:synthesis,architecture-system:19,2,2,0,,runtime,Assets/Scripts/Services/Synthesis/FacilitySynthesisRecipeSO.cs; Assets/Scripts/Services/Synthesis/FacilitySynthesisRuntime.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
BuildingSO,views,,5,5,0,,player-observation,Assets/Scripts/Views/Buildings/UI/UIBuildingInfo.cs; Assets/Scripts/Views/Buildings/UI/UIBuildingSelectButton.cs; Assets/Scripts/Views/UI/IndustrialFeatureSurfacePresenter.cs; Assets/Scripts/Views/UI/ResearchTreePresentationRules.cs; Assets/Scripts/Views/UI/WorldInfoClickSelector.cs,docs_final/content-db/code-consumers/production-facilities/building.csv
CareerPositionDefinitionSO,services:character,,1,1,0,,content-loading,Assets/Scripts/Services/Character/CareerPositionDefinitionCatalog.cs,docs_final/content-db/code-consumers/characters-traits/career-position.csv
CharacterAmbitionDefinitionSO,services:character,,3,3,0,,content-loading; runtime,Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs; Assets/Scripts/Services/Character/CharacterNarrativeRuntime.cs,docs_final/content-db/code-consumers/characters-traits/character-ambition.csv
CharacterAmbitionDefinitionSO,services:run,,1,1,0,,runtime,Assets/Scripts/Services/Run/V20CampaignApplicationAdapter.cs,docs_final/content-db/code-consumers/characters-traits/character-ambition.csv
CharacterBackgroundDefinitionSO,services:character,,3,3,0,,content-loading; runtime,Assets/Scripts/Services/Character/CharacterNarrativeAggregate.cs; Assets/Scripts/Services/Character/CharacterNarrativeCatalog.cs; Assets/Scripts/Services/Character/CharacterNarrativeContracts.cs,docs_final/content-db/code-consumers/characters-traits/character-background.csv
CharacterBackgroundDefinitionSO,services:offense,,1,1,0,,runtime,Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs,docs_final/content-db/code-consumers/characters-traits/character-background.csv
CharacterFunctionalCapacityDefinitionSO,services:foundation,,14,0,14,capacity:arcane-conduction; capacity:auditory-sensing; capacity:communication; capacity:immune-defense; capacity:intake-processing; capacity:mental-maintenance; capacity:physical-mobility; capacity:physical-power; capacity:power-circulation; capacity:precision-manipulation; capacity:purification-processing; capacity:respiratory-exchange; capacity:visual-discernment; capacity:vitality-response,runtime,Assets/Scripts/Services/Foundation/CharacterPerformanceContracts.cs,docs_final/content-db/code-consumers/research-effects/character-functional-capacity.csv
CharacterPerformanceFormulaDefinitionSO,services:character,,18,3,14,performance:combat:melee-power; performance:combat:ranged-hit; performance:medical:disease-recovery; performance:medical:disease-resistance; performance:medical:immunity-gain; performance:medical:immunity-retention; performance:medical:wound-recovery; performance:social:crowd-sensitivity; performance:social:spending; performance:social:wait-patience; performance:survival:fatigue-rate; performance:survival:food-consumption; performance:survival:movement-speed; performance:work:construct:quality,runtime,Assets/Scripts/Services/Character/Core/CharacterPerformanceDefinitionMaximumQuery.cs; Assets/Scripts/Services/Character/Core/CharacterPerformanceQuery.cs; Assets/Scripts/Services/Character/Core/CharacterSkillRuntimeEffects.cs; Assets/Scripts/Services/Character/Core/CharacterStats.cs; Assets/Scripts/Services/Character/Core/CharacterStatsProjectionService.cs; Assets/Scripts/Services/Character/PopulationHealthRuntime.cs; Assets/Scripts/Services/Character/SpeciesRuntime.cs; Assets/Scripts/Services/Character/Work/WorkAmountSystem.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:combat,architecture-system:09,8,0,8,performance:combat:defense-reaction; performance:combat:evasion; performance:combat:melee-hit; performance:combat:melee-power; performance:combat:movement; performance:combat:ranged-hit; performance:medical:treatment-efficiency; performance:work:craft:quality,runtime,Assets/Scripts/Services/Combat/Buildings/EquipmentCraftingBuildingAbilityHandler.cs; Assets/Scripts/Services/Combat/CharacterMedicalRuntime.cs; Assets/Scripts/Services/Combat/CombatRuntimeStatFactory.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:economy,,4,2,2,performance:work:craft:quality; performance:work:harvest:yield,runtime,Assets/Scripts/Services/Economy/CropHarvestOutputRules.cs; Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs; Assets/Scripts/Services/Economy/ProductionAssemblyBridgeAdapter.cs; Assets/Scripts/Services/Economy/ProductionRecipeWorkRateMaximumContributors.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:foundation,,21,0,21,performance:combat:arcane-power; performance:combat:mana-recovery; performance:combat:melee-power; performance:composite:mobility-execution; performance:composite:precision-execution; performance:composite:recovery-foundation; performance:composite:situational-awareness; performance:composite:sustained-execution; performance:medical:complication-risk; performance:medical:disease-resistance; performance:medical:immunity-gain; performance:medical:surgery-speed; performance:medical:surgery-success; performance:medical:treatment-efficiency; performance:medical:treatment-speed; performance:social:negative-mood-duration; performance:social:relationship-recovery; performance:survival:alarm-response; performance:survival:haul-capacity; performance:survival:nutrition-efficiency; performance:survival:risk-detection,runtime,Assets/Scripts/Services/Foundation/CharacterPerformanceContracts.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:infrastructure,,3,0,3,performance:survival:cold-exposure; performance:survival:heat-exposure; performance:work:craft:quality,runtime,Assets/Scripts/Services/Infrastructure/Environment/ApparelWorkOrderRuntime.cs; Assets/Scripts/Services/Infrastructure/Environment/CharacterThermalGameplayEffectProjection.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:invasion,,3,0,3,performance:combat:melee-hit; performance:combat:melee-power; performance:combat:ranged-hit,runtime,Assets/Scripts/Services/Invasion/DefenseRangedSupportRuntime.cs; Assets/Scripts/Services/Invasion/InvasionIntruderCombatRules.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:items,architecture-system:05,1,0,1,performance:survival:haul-capacity,runtime,Assets/Scripts/Services/Items/CharacterCarryInventory.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:offense,,10,0,6,performance:combat:defense-reaction; performance:combat:evasion; performance:combat:melee-hit; performance:combat:melee-power; performance:combat:movement; performance:combat:ranged-hit,content-loading; runtime,Assets/Scripts/Services/Offense/OffenseEncounterCatalog.cs; Assets/Scripts/Services/Offense/OffenseExpeditionService.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,services:survival,,2,0,2,performance:combat:melee-power; performance:survival:food-poisoning,runtime,Assets/Scripts/Services/Survival/CharacterBreakdownActionRunner.cs; Assets/Scripts/Services/Survival/CharacterConsumablesApplicationAdapters.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterPerformanceFormulaDefinitionSO,views,,14,0,11,performance:combat:evasion; performance:combat:melee-hit; performance:combat:melee-power; performance:combat:movement; performance:combat:ranged-hit; performance:medical:surgery-success; performance:social:negotiation; performance:work:construct:speed; performance:work:craft:speed; performance:work:haul:speed; performance:work:research:speed,player-observation,Assets/Scripts/Views/Character/UI/StaffManagementSurfacePanel.cs; Assets/Scripts/Views/UI/CharacterSummaryCombatPresenter.cs; Assets/Scripts/Views/UI/CharacterSurgeryWindow.cs,docs_final/content-db/code-consumers/research-effects/character-performance-formula.csv
CharacterSO,controllers,,1,1,0,,runtime,Assets/Scripts/Controllers/GameManager.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:character,architecture-system:01,24,24,0,,ai-decision; persistence; runtime,Assets/Scripts/Services/Character/AI/AIBrain.cs; Assets/Scripts/Services/Character/AI/CustomerPersonaRuntime.cs; Assets/Scripts/Services/Character/Ability/AbilityMove.cs; Assets/Scripts/Services/Character/Ability/AbilityShopping.cs; Assets/Scripts/Services/Character/Ability/AbilityWork.cs; Assets/Scripts/Services/Character/Ability/CharacterAbility.cs; Assets/Scripts/Services/Character/CharacterLifePublicationService.cs; Assets/Scripts/Services/Character/CharacterSpawner.cs; Assets/Scripts/Services/Character/CharacterSpawnerSceneApplicationAdapter.cs; Assets/Scripts/Services/Character/Core/CharacterActor.cs; Assets/Scripts/Services/Character/Core/CharacterActorCollaborators.cs; Assets/Scripts/Services/Character/Core/CharacterIdentity.cs; Assets/Scripts/Services/Character/Core/CharacterPopulationService.cs; Assets/Scripts/Services/Character/Core/CharacterPopulationServiceFacade.cs; Assets/Scripts/Services/Character/Core/CharacterProgressionProfileProjector.cs; Assets/Scripts/Services/Character/Core/OwnerCharacterFactory.cs; Assets/Scripts/Services/Character/Core/OwnerRunManager.cs; Assets/Scripts/Services/Character/Core/PreparedStartPartyGameplayApplier.cs; Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs; Assets/Scripts/Services/Character/Core/StartPartyPreparationSnapshot.cs; Assets/Scripts/Services/Character/ReproductionApplicationAdapter.cs; Assets/Scripts/Services/Character/SO/CharacterModelData.cs; Assets/Scripts/Services/Character/SO/CharacterRuntimeProfileFactory.cs; Assets/Scripts/Services/Character/Work/WorkDutyController.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:factions,architecture-system:16,1,1,0,,runtime,Assets/Scripts/Services/Factions/FactionRuntime.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:infrastructure,,9,9,0,,content-loading; persistence; runtime,Assets/Scripts/Services/Infrastructure/CharacterV18RestoreIdentityResolver.cs; Assets/Scripts/Services/Infrastructure/CharacterWorldSaveService.cs; Assets/Scripts/Services/Infrastructure/Diagnostics/DungeonGameplayPerformanceProbe.cs; Assets/Scripts/Services/Infrastructure/Diagnostics/GameplayPerformanceWorldConfigurator.cs; Assets/Scripts/Services/Infrastructure/DungeonSceneNavigation.cs; Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs; Assets/Scripts/Services/Infrastructure/InvasionIntruderDataProvider.cs; Assets/Scripts/Services/Infrastructure/RunVariableCatalogServices.cs; Assets/Scripts/Services/Infrastructure/RunVariableRuntimeProvider.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:invasion,architecture-system:13,4,4,0,,persistence; runtime,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.Restore.cs; Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs; Assets/Scripts/Services/Invasion/InvasionIntruderRuntime.Restore.cs; Assets/Scripts/Services/Invasion/InvasionIntruderSystem.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:offense,architecture-system:14,4,3,1,character-archetype:2001,runtime,Assets/Scripts/Services/Offense/EnemyIndividualRuntime.cs; Assets/Scripts/Services/Offense/OffenseBattlePanel.cs; Assets/Scripts/Services/Offense/OffenseCombatAbilities.cs; Assets/Scripts/Services/Offense/OffenseReturnArrivalRuntime.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:recruitment,architecture-system:16,3,3,0,,persistence; runtime,Assets/Scripts/Services/Recruitment/RegularCustomerRuntime.cs; Assets/Scripts/Services/Recruitment/RegularCustomerSaveSection.cs; Assets/Scripts/Services/Recruitment/RegularCustomerSystem.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,services:run,,3,3,0,,content-loading; runtime,Assets/Scripts/Services/Run/AuthoredGameplayCatalog.cs; Assets/Scripts/Services/Run/RunStartVariableSelector.cs; Assets/Scripts/Services/Run/RunVariableSystem.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSO,views,,3,3,0,,player-observation,Assets/Scripts/Views/Character/UI/OwnerSelectionPanel.cs; Assets/Scripts/Views/Character/UI/OwnerSelectionViewRules.cs; Assets/Scripts/Views/Character/UI/StartPartyPreparationUiController.cs,docs_final/content-db/code-consumers/characters-traits/character.csv
CharacterSpeciesSO,models:species,,1,1,0,,content-loading,Assets/Scripts/Models/Species/Core/CharacterSpeciesCatalog.cs,docs_final/content-db/code-consumers/characters-traits/character-species.csv
CharacterSpeciesSO,services:character,,8,8,0,,runtime,Assets/Scripts/Services/Character/CharacterSpawner.cs; Assets/Scripts/Services/Character/CharacterSpeciesWorkAptitudeRules.cs; Assets/Scripts/Services/Character/Core/CharacterPopulationService.cs; Assets/Scripts/Services/Character/Core/StartPartyPreparationService.cs; Assets/Scripts/Services/Character/SO/CharacterModelData.cs; Assets/Scripts/Services/Character/SO/CharacterRuntimeProfileFactory.cs; Assets/Scripts/Services/Character/SO/CharacterSO.cs; Assets/Scripts/Services/Character/SpeciesRuntime.cs,docs_final/content-db/code-consumers/characters-traits/character-species.csv
CharacterSpeciesSO,services:codex,,1,1,0,,runtime,Assets/Scripts/Services/Codex/CodexRuntimeApplicationAdapter.cs,docs_final/content-db/code-consumers/characters-traits/character-species.csv
CharacterSpeciesSO,services:economy,,1,1,0,,runtime,Assets/Scripts/Services/Economy/CropHarvestReachableMaximumWitnessAuthority.cs,docs_final/content-db/code-consumers/characters-traits/character-species.csv
