portfolio_id,horizon_day,stage,primary_research_ids,operating_building_ids,signature_content_ids,combat_case_id,signature_pressure_id,external_obligation_id,committed_payoff,delayed_investment,reconfiguration_when_pressure_hits,static_link_status
hospitality,10,first-operation,research:commerce:logistics|research:commerce:retail|research:authority:quarters,building:8806|building:8807|building:1029,recipe:component:price-board,encounter:01,service-incident:brawl,—,하역·가격·숙소 분리가 손님과 화물의 흐름을 만든다,깊은 자급 농업과 채굴 설비,사고가 나면 신규 판매·하역을 멈추고 객실 분리와 경비·중재에 인력을 돌린다,all-ids-resolved
hospitality,30,first-commitment,research:commerce:logistics|research:commerce:retail|research:authority:quarters,building:8806|building:8807|building:1029,recipe:tool:hauling-harness,encounter:07,service-incident:contamination,—,운반 장비를 서비스 처리량에 투자해 재고의 체류와 손님 대기를 같은 병목으로 만든다,외부 농지 확대와 중공업,검역·청소에 인력을 재배치하고 하역·판매 주문은 계약 기한이 임박한 것만 남긴다,all-ids-resolved
hospitality,120,main-network,research:commerce:expansion|research:commerce:secure-trade|research:hospitality-operations,building:1700|building:8898|building:1712,recipe:tool:hauling-harness,encounter:11,service-incident:contamination,faction-contract:demon:supply,접수·보안 거래·서비스 흐름을 계약 납기와 관계 변화에 결속한다,심부 자급과 자동 생산선,검역 실패에는 계약 규모를 낮추고 객실·보관·치료를 분리해 화물과 감염을 끊는다,all-ids-resolved
hospitality,400,specialization,research:service-automation|research:authority:prestige|research:control:show,building:1714|building:8804|building:8811,recipe:supply:performance-prop-box,encounter:17,seasonal:autumn-caravan-rush,—,자동 서비스·위신·공연이 수입과 평판을 올리지만 전력·청소·보안의 공통 사고 범위도 키운다,대형 제련과 고정 공성 방어,교통 급증에는 고수익 서비스만 유지하고 일반 손님·공연을 취소해 물류와 보안을 회복한다,all-ids-resolved
hospitality,960,capstone,research:control:blood-show|research:service:dining-operations|research:authority:ritual,building:8808|building:8848|building:8805,recipe:ritual-reagent|recipe:tool:banquet-cart,encounter:25,service-incident:culturalinsult,faction-contract:demon:strategic,위험 흥행·고급 식사·의례를 관계 자본으로 바꾸고 부상·평판·보안 손실을 같은 운영 장부에 남긴다,고정 방어선과 대량 탄약 생산,관습 충돌이나 부상이 발생하면 흥행을 중단하고 치료·사과·보상에 재고와 인력을 전환한다,all-ids-resolved
industrial,10,first-operation,research:mining:surface|research:metallurgy:primitive|research:forestry:tools,building:1093|building:8815,recipe:tool:prospecting-kit,encounter:01,seasonal:spring-thaw-flood,—,탐광·도구·기초 단조를 연결해 원료 회수와 수리 능력을 먼저 확보한다,객실·의례·정밀 비전 시설,침수에는 새 탐광과 비핵심 운반을 멈추고 도구·창고·수동 작업대를 보전한다,all-ids-resolved
industrial,30,first-commitment,research:mining:surface|research:metallurgy:primitive|research:forestry:tools,building:1093|building:8815,source:saltstone,encounter:07,seasonal:summer-heat-grid,—,외부 원료원을 단조·도구와 묶어 중앙 제조의 첫 재료 흐름을 만든다,서비스 확장과 외부 농지,열·전력 징후에는 추출량을 낮추고 수동 작업대와 필수 수리 재고만 유지한다,all-ids-resolved
industrial,120,main-network,research:mining:quarry|research:metallurgy:iron|research:industry:steam-power,building:1094|building:1079|building:9810,recipe:iron-ingot|recipe:arrow-iron,encounter:11,seasonal:summer-heat-grid,—,채석·철·증기를 같은 공급망에 결속해 구조재·부품·방어 탄약을 공유한다,환대 전문화와 가벼운 기동군,전력 사고에는 제련·채굴을 멈추고 보일러·수리·방어 보급을 순서대로 복구한다,all-ids-resolved
industrial,400,specialization,research:industry:assisted-processing|research:industry:storage|research:industry:conveyor|research:industry:electric-smelting,building:1609|building:9813|building:9840|building:9825,recipe:component:machine-parts,encounter:17,seasonal:summer-heat-grid,faction-contract:kobold:supply,보조 공정·완충 재고·컨베이어가 반복 노동을 줄이는 대신 전력·부품·물류 고장을 공유한다,저비용 분산 생산과 고급 환대,정전에는 컨베이어와 비핵심 하역을 멈추고 수동 수리·필수 탄약·생존 보급으로 축소한다,all-ids-resolved
industrial,960,capstone,research:industry:automatic-bills|research:industry:line-balancing|research:industry:lifts,building:9860|building:8829|building:9850,recipe:component:stock-sensor-panel|recipe:supply:defense-mixed-ammo-box,encounter:25,seasonal:summer-heat-grid,—,자동 주문·라인 균형·수직 운반을 대형 생산선의 성과로 만들고 WIP·정전·정비를 그 대가로 남긴다,소규모 수공업과 다방향 계약 서비스,전력망이 흔들리면 자동 주문을 중단하고 비축·수동 공정·방어 보급으로 생산선을 분할한다,all-ids-resolved
expeditionary,10,first-operation,research:defense:watch|research:defense:fortification|research:equipment:weapon-patterns,building:1045|building:1055|building:8834,equipment-item:weapon:falchion,encounter:01,seasonal:winter-hungry-pack,—,경계·무기·저장 공간을 먼저 묶어 내부 방어의 최소선을 확보한다,장기 연구·대형 생산선·환대,침입 신호에는 훈련·무기 보급·방어 인력을 우선하고 외부 작업을 회수한다,all-ids-resolved
expeditionary,30,first-commitment,research:defense:watch|research:defense:fortification|research:equipment:weapon-patterns,building:1045|building:1055|building:8834,recipe:tool:watch-signal-horn,encounter:07,seasonal:winter-hungry-pack,—,신호 장비와 고정 보관이 위협 탐지 시간을 전투 준비 시간으로 전환한다,심부 자급과 대형 서비스 구역,경계가 울리면 원정 준비·비필수 제작을 멈추고 내부 전열·탄약·경로 통제에 집중한다,all-ids-resolved
expeditionary,120,main-network,research:defense:ranged-positions|research:defense:tactical-command|research:equipment:bowyery|research:equipment:field-maintenance,building:1041|building:1047|building:8836|building:9308,equipment-item:weapon:composite-bow|recipe:arrow-bone|recipe:tool:field-repair-kit,encounter:11,seasonal:winter-hungry-pack,faction-contract:harpy:supply,사선·지휘·궁시·현장 수리가 원정의 적재·소모·귀환 회복을 하나의 비용으로 만든다,대형 고정 방어와 민수 자동화,원정 중 내부 위협에는 외곽 출발을 취소하고 정찰·수리·수비 인력을 내부로 복귀시킨다,all-ids-resolved
expeditionary,400,specialization,research:defense:siege-fortification|research:equipment:mechanical-projectiles|research:equipment:black-powder|research:equipment:standard-ammunition,building:1805|building:8837|building:8840|building:8841,recipe:component:siege-counterweight|recipe:material:black-powder|recipe:ammo:incendiary-arrow,encounter:17,seasonal:winter-hungry-pack,faction-contract:kobold:crisis,공성 방어·기계식 투사·화약·표준 탄약이 위협 제거 시간을 줄이지만 보관·화재·수리 부담을 키운다,고급 서비스와 장기 생태 투자,부상이나 화재가 나면 원정 보급을 축소하고 수리·치료·내부 방어를 먼저 충당한다,all-ids-resolved
expeditionary,960,capstone,research:equipment:ballistics|research:equipment:ignition-mechanisms|research:equipment:pressure-barrels,building:8900,equipment-item:weapon:arquebus|recipe:ammo:armor-piercing-cartridge,encounter:25,seasonal:winter-hungry-pack,—,탄도·점화·압력 기술이 고위협 처리를 확장하는 대신 정밀 부품·재장전·연기·오발의 병목을 만든다,대형 자동화와 무균 비전 종착,보급이 끊기면 고화력 장비를 보관하고 방어선·근접 장비·회수 가능한 탄약으로 전환한다,all-ids-resolved
arcane,10,first-operation,research:arcane:records|research:arcane:alchemy|research:authority:ritual,building:1032|building:1091|building:8805,recipe:record:arcane-index,encounter:01,seasonal:summer-heat-grid,—,기록·연금·의식 공간을 연결해 비전 투자의 재료와 이력을 먼저 확보한다,저비용 대량 생산과 화약 보급,전력 이상에는 기록·기본 연금만 유지하고 의식·정밀 주문을 중단한다,all-ids-resolved
arcane,30,first-commitment,research:arcane:records|research:arcane:alchemy|research:authority:ritual,building:1032|building:1091|building:8805,recipe:fang-poison,encounter:07,seasonal:summer-heat-grid,—,연금 산출을 위험 대응 재료로 바꾸어 촉매·용기·전문 노동을 초기에 묶는다,외부 면적 확장과 표준 군수,촉매 부족에는 고급 조합을 중단하고 기본 약제·기록·수동 생존망만 유지한다,all-ids-resolved
arcane,120,main-network,research:arcane:advanced|research:arcane:resonance|research:industry:mana-power,building:1056|building:8897|building:9812|building:8823,recipe:arrow-rune|recipe:material:mana-alloy,encounter:11,seasonal:summer-heat-grid,faction-contract:demon:supply,고급 룬·공명·마나 동력이 정밀 장비와 방어를 연결하는 대신 촉매·전력·정비를 같은 병목으로 만든다,저비용 수공업과 화약 집중,교란에는 공명 구역을 분리하고 수동 생활망·증기 보조·제한 계약으로 핵심 장비를 보존한다,all-ids-resolved
arcane,400,specialization,research:equipment:rune-module-tuning|research:medical:regenerative-culture|research:genetics:hereditary-records,building:9826|building:8867|building:8878,recipe:medical:regenerative-medium|recipe:component:rune-tuning-shield,encounter:17,seasonal:summer-heat-grid,faction-contract:demon:crisis,모듈 계보·재생 배양·유전 기록이 개체 손실을 장기 자산의 손실로 바꾼다,자동 생산선과 대량 소모 탄약,무균이나 전력이 흔들리면 신규 배양·모듈 주문을 멈추고 생존 치료·기록 보전·구역 정화에 집중한다,all-ids-resolved
arcane,960,capstone,research:medical:organ-regeneration|research:medical:whole-body-regeneration|research:medical:temporal-stasis,building:8868|building:8871|building:8872,recipe:medical:organ-regeneration-scaffold|recipe:medical:whole-body-regeneration-medium|recipe:component:temporal-stasis-seal,encounter:25,seasonal:summer-heat-grid,faction-contract:golem:strategic,장기·전신·시간 의료가 인구와 계보를 보존하지만 마나·무균·공간·정밀 부품을 계속 점유한다,경량 군수와 넓은 표면 농업,기반망 장애에는 고가 치료를 보류하고 환자 안정화·기록 보호·수동 치료·시설 격리를 먼저 수행한다,all-ids-resolved
