"portfolio_id","horizon_day","target_research_id","target_role","commitment_effect","selection_reason"
"underground","120","research:forestry:fungal","substrate-chain","균목림과 배양재 공급선을 확보","식량과 배양재가 같은 내부 공간·청결 조건을 경쟁한다."
"underground","120","research:plumbing:reuse","water-loop","외부 물 의존을 순환망으로 일부 대체","필터·정비·오염 돌파라는 공통 고장 범위를 받아들인다."
"underground","400","research:health:isolation-medicine","containment-specialization","밀집 생활권의 전염 대응을 정착","격리 공간·보호구·전담 인력이 생산 공간과 경쟁한다."
"underground","400","research:climate:environment-control","environment-control","실내 환경을 고정 기반망으로 전환","전력·정비·공간이 넓은 외부 경작 확장을 늦춘다."
"underground","400","research:plumbing:rune-purification","arcane-bridge","룬 정화로 오염 회복을 보강","희귀 촉매와 마나 정비가 고장 회복의 병목이 된다."
"underground","960","research:climate:regional-climatology","climate-capstone","지역 기후를 읽고 실내 환경 제어를 장기 기반망으로 완성","관측·정밀 시설·전력 의존이 넓은 표면 확장을 대체한다."
"underground","960","research:environment:rune-insulation","sealed-habitat","밀집 지하 구역의 온도·보호를 룬 단열로 보강","마나 재료·정비가 환기·청결과 같은 고장 범위를 공유한다."
"underground","960","research:medical:mycelial-grafting","species-specialization","균사 인구의 장기 치료를 내부 의료·배양으로 결속","작은 전문 환자군을 위해 희귀 재료와 병상을 지속 점유한다."
"hospitality","30","research:commerce:logistics","trade-entry","중앙 보관·인계를 거래 기반으로 지정","직접 운반보다 재고 분류·하역 동선에 먼저 노동을 쓴다."
"hospitality","30","research:commerce:retail","trade-entry","진열·결제를 통한 현금 흐름을 개시","내부 자급 대신 손님 수요·보안·재고 체류에 노출된다."
"hospitality","30","research:authority:quarters","guest-capacity","주거와 손님 공간을 분리","생산 면적 일부를 숙소·청소·보관에 영구적으로 배정한다."
"hospitality","120","research:commerce:expansion","trade-specialization","전문 서비스와 고급 제작을 확대","환대 인력·문화 수용·보안에 더 큰 유지비를 건다."
"hospitality","120","research:commerce:secure-trade","contract-security","고가 화물과 계약을 보안 경로에 결속","금고·호위·기한 실패가 경제 손실로 이어진다."
"hospitality","120","research:hospitality-operations","service-flow","객실·접수·배식의 처리 흐름을 정착","대기열·감염·손님 만족이 내부 작업을 압박한다."
"hospitality","400","research:service-automation","service-scale","반복 서비스 노동을 기반망과 교환","전력·부품·정비 고장이 손님·주민 서비스를 함께 멈춘다."
"hospitality","400","research:authority:prestige","reputation-capital","공간 품질을 계약·관계 자산으로 전환","장식 자재·청소·보안이 생산·방어 자원과 경쟁한다."
"hospitality","400","research:control:show","event-economy","공연을 서비스·평판 수입의 선택지로 추가","안전 사고·과밀·공연자 관계 문제가 고유한 하방 위험이 된다."
"hospitality","960","research:control:blood-show","high-risk-spectacle","위험 흥행을 고수익·고관계위험 계약으로 확장","부상·보안·평판 손실이 평시 수입을 역전할 수 있게 한다."
"hospitality","960","research:service:dining-operations","dining-specialization","식사 서비스의 품질·처리량을 전용 운영으로 확장","주방·배식·청소가 다른 서비스와 인력을 직접 경쟁한다."
"hospitality","960","research:authority:ritual","ceremonial-capital","의식·위신을 세력 관계와 장기 계약 자본으로 전환","의례 공간·장식·인력이 내부 생산·방어와 경쟁한다."
"industrial","30","research:mining:surface","material-entry","외부 구조재·얕은 광석의 직접 조달을 개시","외부 안전과 운반 인력을 식량·서비스보다 먼저 배정한다."
"industrial","30","research:metallurgy:primitive","material-entry","기초 금속 가공을 생산망에 연결","목재·석재 중심 대체 건설을 일부 늦춘다."
"industrial","30","research:forestry:tools","material-entry","외부 원료 회수에 전용 장비를 투자","도구 수리·분실·부상 위험이 지속비가 된다."
"industrial","120","research:mining:quarry","material-specialization","고정 채석 거점과 보호·운반선을 확정","거점 봉쇄와 낙석이 구조재·산업 투자를 함께 흔든다."
"industrial","120","research:metallurgy:iron","material-specialization","철제 부품과 구조재를 공용 기반으로 삼음","광석·연료·제련 병목이 여러 하류 설비에 전파된다."
"industrial","120","research:industry:steam-power","power-entry","연료·물·보일러·배전을 중앙 동력망으로 결속","정전과 연료 부족이 생산·방어를 동시에 압박한다."
"industrial","400","research:industry:assisted-processing","throughput-specialization","보조 동력으로 반복 공정의 노동을 압축","기계·전력·정비를 지불하지 않으면 처리량 이득이 사라진다."
"industrial","400","research:industry:storage","logistics-specialization","중앙 저장·완충 재고를 산업망에 결속","운반 병목·화재·과잉 WIP가 공통 약점으로 남는다."
"industrial","400","research:industry:conveyor","automation-branch","반복 생산을 고정 경로·전력으로 확장","수동 복구와 구역 차단 없이는 연쇄 정지에 취약하다."
"industrial","400","research:industry:electric-smelting","material-density","전력 기반 제련으로 고밀도 재료를 확보","전력·열·정비 부하를 낮은 노동과 교환한다."
"industrial","960","research:industry:automatic-bills","automatic-production","반복 생산 주문을 자동 가동과 부품·정비·전력의 교환으로 전환","수동 비상 공정과 구역 차단이 없으면 연쇄 정지에 취약하다."
"industrial","960","research:industry:line-balancing","line-specialization","병목 조정과 완충 재고를 대형 생산선의 필수 비용으로 확정","과잉 WIP·물류 정체·공통 고장 범위가 커진다."
"industrial","960","research:industry:lifts","vertical-logistics","수직 던전 물류를 고가 기반망으로 확장","전력·정비·공간 토폴로지 없이 처리량 이득을 얻지 못한다."
"expeditionary","30","research:defense:watch","security-entry","경계·순찰을 일상 노동에 우선 배정","생산·연구 인력 일부가 즉시 경비 공백을 메우지 못한다."
"expeditionary","30","research:defense:fortification","security-entry","초기 침입 방향을 고정 방어로 통제","우회·내부 사고에는 기동 인력이 여전히 필요하다."
"expeditionary","30","research:equipment:weapon-patterns","equipment-entry","무기 제작·수리를 원정 보급선에 편입","공구·재료·수리 인력이 식량·생활 노동과 경쟁한다."
"expeditionary","120","research:defense:ranged-positions","ranged-branch","사선·탄약·궁수 배치를 방어와 원정에 결속","탄약 고갈과 궁수 부상이 처리량의 상한이 된다."
"expeditionary","120","research:defense:tactical-command","mobility-specialization","다지점 위협에 대응하는 지휘·기동 체계를 정착","원정 중 내부 인력 공백과 지휘 의존이 약점으로 남는다."
"expeditionary","120","research:equipment:bowyery","equipment-specialization","원거리 장비·활시위를 지속 보급","섬유 재고가 의료·의복·궁시 사이에서 경쟁한다."
"expeditionary","120","research:equipment:field-maintenance","recovery-branch","원정 장비의 현장 수리와 귀환 후 회복을 연결","예비 부품·공구·수리 시간이 전리품 이익을 잠식한다."
"expeditionary","400","research:defense:siege-fortification","siege-readiness","공성 압력에 대응하는 방어·보급을 확보","대형 고정 방어는 기동 장비와 동일 자재를 소비한다."
"expeditionary","400","research:equipment:mechanical-projectiles","projectile-branch","기계식 투사 장비로 사거리와 관통을 확장","정밀 부품·탄약·수리 병목이 전투 지속력을 제한한다."
"expeditionary","400","research:equipment:black-powder","munition-branch","화약 보급과 위험 관리를 군수망에 추가","화재·저장 사고·연료 경쟁이 원정 수익의 하방을 만든다."
"expeditionary","400","research:equipment:standard-ammunition","munition-branch","표준 탄약을 반복 생산·재보급의 단위로 고정","다른 소모품과 같은 운반·창고·제조 용량을 다툰다."
"expeditionary","960","research:equipment:ballistics","ballistic-capstone","장거리 관통 화력을 정밀 총기·탄약 체계로 전환","부품·화약·부상 회복이 원정 수익과 직접 경쟁한다."
"expeditionary","960","research:equipment:ignition-mechanisms","ballistic-reliability","점화 장치를 정밀 제조·수리의 장기 병목으로 둔다","고장·화재·부품 부족이 고화력의 하방 위험을 만든다."
"expeditionary","960","research:equipment:pressure-barrels","heavy-ordnance","압력 용기와 중화력을 공성·위협 제거의 종착으로 삼음","제조 시간·저장 안전·운반 질량이 기동성 이득을 제한한다."
"arcane","30","research:arcane:records","knowledge-entry","기록·관찰을 연구와 사고 대응의 기반으로 지정","행정 노동과 기록 공간이 즉시 생산 확장을 늦춘다."
"arcane","30","research:arcane:alchemy","knowledge-entry","연금 공정을 정밀 재료·약제의 입구로 사용","연료·용기·시약이 생활·군수 재료와 경쟁한다."
"arcane","30","research:authority:ritual","ritual-entry","의식 공간과 권위 자산을 비전 연구의 선행으로 투자","장식·공간·의례 인력이 직접 생산 설비를 늦춘다."
"arcane","120","research:arcane:advanced","arcane-specialization","고급 비전 연구의 시설·재료 요구를 수용","초기 저비용 생산과 병렬 확장을 포기한다."
"arcane","120","research:arcane:resonance","arcane-specialization","공명 설비와 대형 비전 사업을 정착","공명 사고와 룬 정비가 공통 고장 범위를 만든다."
"arcane","120","research:industry:mana-power","power-specialization","마나 전력을 정밀 공정·의료와 결속","촉매·도체·정비가 연료 기반 확장보다 먼저 필요하다."
"arcane","400","research:equipment:rune-module-tuning","equipment-lineage","고유 장비 모듈을 계보·전술 차별화에 사용","희귀 부품을 장비·의료·시설이 동시에 요구한다."
"arcane","400","research:medical:regenerative-culture","medical-capstone","장기 치료를 배양·무균·전문 노동의 장기 투자로 전환","정전·오염·시약 부족이 대형 손실로 이어진다."
"arcane","400","research:genetics:hereditary-records","lineage-capital","세대·형질 기록을 장기 문명 자산으로 축적","기록·시설·전문 인력이 단기 전투·생산에서 이탈한다."
"arcane","960","research:medical:organ-regeneration","regeneration-capstone","장기 재생을 고가 배양·수술·정전 대응이 필요한 장기 치료로 완성","시약·무균·전력 실패가 큰 누적 손실로 이어진다."
"arcane","960","research:medical:whole-body-regeneration","whole-body-capstone","전신 재생을 대이정표급 투자와 인구 유지의 선택지로 둠","연구·시설·마나 자원이 생산·방어에서 장기간 이탈한다."
"arcane","960","research:medical:temporal-stasis","temporal-capstone","시간 고정으로 계보 보전·불치 손상을 다루는 종착점","최고 수준의 공간·정밀 부품·마나·관리 비용을 계속 요구한다."
