design_area,definition_type,definition_count,final_value_location,final_numeric_fields,primary_comparison_axes,static_completion_rule,document_state,runtime_state
combat-items,CombatArmorSO,21,items/combat-equipment-numeric-ledger.csv,concrete craft BOM kg market value|required craft WU|body part defense|weight durability layer,damage type/body part|kg|mobility|repair WU|environment,each armor family trades coverage or resistance against weight and upkeep,locked,combat verification pending
combat-items,CombatShieldSO,9,items/combat-equipment-numeric-ledger.csv,concrete craft BOM kg market value|required craft WU|defense|frontal block|weight durability hands,front defense|hands|kg|repair WU|formation,each shield gives a front-line advantage while consuming a hand or mobility budget,locked,combat verification pending
combat,OffenseEncounterSO,36,combat/encounter-numeric-ledger.csv,enemy composition|min/max enemy count|health/damage/accuracy multipliers|objective|round limit|reward item value,prepared victory rate|injury and recovery days|ammo and repair cost|reward net value,each encounter band leaves one counter path and one resource or recovery cost that another preparation path does not erase,locked,combat verification pending
combat,EnemyArchetypeDefinitionSO,36,combat/enemy-numeric-ledger.csv,health|attack|stats|speed|equipment WU/kg|tactical weights|reward unit value,enemy profile|preparation counter|injury/recovery|reward net value,each enemy profile has a counter path and tactical pressure that cannot be erased by the same loadout,locked,combat verification pending
medical,SurgicalProcedureSO,47,medical/procedure-numeric-ledger.csv,required WU|research|facility tags|infection/bleeding risk|anesthesia/restraint|material BOM kg market value,healing outcome|risk|medical WU|material kg/value|facility queue,each high-risk procedure creates a speed or long-term benefit that low-risk treatment cannot provide free,locked,medical verification pending
medical,DiseaseDefinitionSO,16,medical/disease-numeric-ledger.csv,incubation|contagious days|infection probability|severity|vaccine|chronic,medical stock|isolation WU|facility queue|recovery risk,"each disease combines a prevention, containment or treatment pressure without one universal remedy",locked,medical verification pending
life,CharacterTraitSO,113,context/trait-numeric-ledger.csv,selection rarity|environment values|effect definition and value|identity rule values,baseline output|conditional output|frequency|stacking|recovery cost,ordinary traits remain within ±3–8% and strong single effects within ±12% unless a paired cost exists,locked,life-system verification pending
life,CharacterSpeciesSO,10,context/species-numeric-ledger.csv,needs|temperature ranges|environment multipliers|stay/crime multipliers|capacity effects,need rate|environment cost|work profile|long-run survival,each species has two operating strengths and one recurring cost without blocking any portfolio,locked,life-system verification pending
life,SpeciesCultureDefinitionSO,10,context/species-culture-numeric-ledger.csv,assimilation days|room temperature/ventilation/lighting/cleanliness|shared/private preference|item/ritual/attitude counts,accommodation temperature|space mode|supply and ritual count|integration time,each culture resolves authored room and assimilation values; item/ritual WU and BOM bind through their own ledgers,locked,life-system verification pending
events,LifeEventDefinitionSO,32,events/life-event-numeric-ledger.csv,cooldown|deadline|choice BOM kg market value|effect amount duration,trigger frequency|deadline|response cost|relationship/legacy outcome,each event has at least two non-identical resolution costs or an automatic record with a real source condition,locked,event verification pending
events,ServiceIncidentDefinitionSO,8,events/service-incident-numeric-ledger.csv,response BOM kg market value|effect amount duration|response count,containment WU|inventory loss|service interruption|trust recovery,three responses trade service continuity against safety cost and future relationship pressure,locked,event verification pending
events,SeasonalWorldEventDefinitionSO,28,events/seasonal-event-numeric-ledger.csv,minimum/maximum duration|start daily end effect amount duration,seasonal loss|preparation stock|labor diversion|recovery days,each season tests a different portfolio weakness and leaves one recovery route,locked,event verification pending
events,FactionContractDefinitionSO,18,events/faction-contract-numeric-ledger.csv,cargo BOM kg market value|deadline|success/failure effects,quote EWU|cargo kg|deadline|relationship|failure liability,contract benefit repays its full cargo and risk cost after two to four normal completions,locked,contract verification pending
events,FactionChapterDefinitionSO,36,events/faction-chapter-numeric-ledger.csv,choice BOM kg market value|facility count|effect amount duration,branch cost|cargo/combat cost|long state|other faction pressure,each chapter closes one route or obligation instead of granting all faction rewards,locked,event verification pending
events,GuestRequestDefinitionSO,14,events/guest-request-numeric-ledger.csv,deadline|service BOM kg market value|facility count|success/failure effects,service capacity|item cost|deadline|repeat visit value|reputation loss,accepting every request must consume capacity or create a later risk,locked,event verification pending
events,FestivalDefinitionSO,16 unique stable IDs,events/festival-numeric-ledger.csv,season day|preparation BOM kg market value|participants|outcome values,preparation WU|space|supplies|accident risk|culture value,scaled and skipped festivals retain different relationship and supply outcomes,locked,event verification pending
events,CulturalPracticeDefinitionSO,20,events/cultural-practice-numeric-ledger.csv,requirement BOM kg market value|facility count|success/neglect effects,supply WU|space|time|assimilation|relationship,accepting a practice has a visible ongoing cost and an integration benefit,locked,event verification pending
context,ClimateZoneDefinitionSO,5,context/climate-numeric-ledger.csv,mean temperature|annual amplitude|local hour offset,food/water/heat cost|work loss|clothing/facility burden|stock days,no climate leaves the same portfolio first in stability growth defense and capital,locked,context verification pending
context,DungeonFactionDefinitionSO,6 unique stable IDs,context/dungeon-faction-numeric-ledger.csv,trade/supply cargo kg|market value|trade/supply/reinforcement cooldown days,external supply|obligation|response time|relationship cost,each faction route delays a different internal investment and cannot replace it for free,locked,context verification pending
