"stable_id","display_name","source_declared_function","lineage_and_era_evidence","proposed_tactical_branch","portfolio_commitment","forgone_branch","activation_and_effect_binding","counterpressure_and_recovery","status"
"module:shield:shock-grip","충격 손잡이","작성 목적은 '원정에서 회수하는 충격 손잡이 개량 부품'이다.","계보 Shield; 최소 시대 Mature Industrial; powerPerGrade 0.04; utilityPerGrade 0.035; 현재 effects []","충격 대응","밀침·충돌·방패 교전에서 자세를 지키는 방어 운용","순수 내구·룬 차폐·고정 진형 축","Mature Industrial 이후 Shield 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:shield:ward-emitter","수호 방출기","작성 목적은 '원정에서 회수하는 수호 방출기 개량 부품'이다.","계보 Shield; 최소 시대 Mature Industrial; powerPerGrade 0.045; utilityPerGrade 0.025; 현재 effects []","룬 차폐","마나·룬 위협을 방패 전열에서 받아내는 방어 운용","물리 내구·충격 대응·고정 진형 축","Mature Industrial 이후 Shield 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:balanced-core","균형 심재","작성 목적은 '원정에서 회수하는 균형 심재 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.035; utilityPerGrade 0.025; 현재 effects []","균형형 주력","명중·피해·내구 어느 하나에 몰지 않는 기본 무기 운용","관통·정밀·속도·제압·처형·장기전·마나 중 한 특화축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:endurance-binding","내구 결속","작성 목적은 '원정에서 회수하는 내구 결속 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.045; utilityPerGrade 0.025; 현재 effects []","장기 원정","보급·수리 간격이 긴 원정에서 무기 가동을 유지하는 운용","즉시 화력·정밀·제압에 쏠린 단기 조우 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:execution-edge","처형 날","작성 목적은 '원정에서 회수하는 처형 날 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.04; utilityPerGrade 0.035; 현재 effects []","마무리","이미 약화된 우선 표적을 확실히 끝내는 처형 운용","초기 교전 제압·원거리 정밀·장기 내구 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:mana-conduit","마나 도관","작성 목적은 '원정에서 회수하는 마나 도관 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.05; utilityPerGrade 0.03; 현재 effects []","마나 연계","마나 공급·룬 연구를 무기 운용과 묶는 연계형 운용","마나 보급 없이 독립적으로 굴리는 물리 특화 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:penetrator","관통 촉","작성 목적은 '원정에서 회수하는 관통 촉 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.04; utilityPerGrade 0.03; 현재 effects []","장갑 대응","장갑·차폐가 두꺼운 조우를 깨는 관통형 무기 운용","균형·정밀·제압처럼 넓은 상황을 다루는 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:precision-sight","정밀 조준기","작성 목적은 '원정에서 회수하는 정밀 조준기 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.045; utilityPerGrade 0.035; 현재 effects []","표적 제거","원거리·우선 표적을 먼저 정리하는 정밀 운용","난전 제압·근접 처형·장기 내구 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:quick-action","속동 기구","작성 목적은 '원정에서 회수하는 속동 기구 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.05; utilityPerGrade 0.025; 현재 effects []","선제 템포","행동 간격과 반응 기회를 앞세워 위험이 커지기 전에 끊는 운용","한 발의 관통·처형·지속 내구 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"
"module:weapon:suppression-coil","제압 코일","작성 목적은 '원정에서 회수하는 제압 코일 개량 부품'이다.","계보 Weapon; 최소 시대 Medieval; powerPerGrade 0.035; utilityPerGrade 0.03; 현재 effects []","군중 제어","다수 접근·작업 방해를 늦추는 제압 운용","단일 표적 관통·정밀 제거·처형 축","Medieval 이후 Weapon 장비에 장착하는 설계 분기다. 현재 effects가 비어 있으므로, 구현 전 이 행의 전술 분기를 구체 효과·장착 슬롯·등급 규칙·저장 권위에 하나씩 연결한다.","동일 장비에서 상충하는 특화축을 함께 최대화하지 못하게 슬롯·등급 예산·재료·정비 비용을 확정한다. 해제한 모듈은 회수·정비·재장착 경로로 돌리고, 중복 효과·무한 교체·저장 복제는 자동 감사 대상으로 둔다.","전수 설계; proposed tactical branch 확정, effects·slot·grade·BOM·정비·저장 구현 OPEN"

