group,type,closure_status,qualifying_outcome,exact_owner_seam,blocker
1,ProductionProcessFluidReceipt,blocked,,ProductionBillRecord and ProductionCycleUtilityService,"fluid receipt is a captured input snapshot; consumption commit/outbox integration is absent"
1,ProductionRecipeExecutionReceipt,blocked,production.completed,ProductionBillRuntime and ProductionRecipeExecutionReceiptAuthority,"partial outcome is aggregate and post-physical-commit; exact receipt owner is unpersisted and cannot roll back physical output"
1,ProductionStockSensorPhysicalReceipt,blocked,,ProductionItemGateway,"sensor receipt is an observation/capture with no authoritative joint mutation boundary"
1,ProductionStockSensorRemovalReceipt,blocked,,ProductionStockSensorRemovalOutputGateway,"removal receipt is not joined to stock mutation save/outbox ownership"
1,ProductionWipInputReceipt,blocked,,ProductionItemGateway,"WIP input receipt is not a reserved exact outcome and WIP consumption cannot be rolled back by the ledger producer"
1,ProductQualityResolvedEvent,blocked,,CombatEquipmentCraftingRuntime and ApparelWorkOrderRuntime,"quality event is published after disparate craft owners commit; no common exact owner transaction"
1,ResearchOutcomeEvent,blocked,,BlueprintResearchRuntime,"identity event is post-state projection of research and cannot be authoritative observer capture"
1,WorkCompletedIdentityEvent,blocked,,AbilityWork plus work/equipment/production/surgery owners,"multiple owners publish one observer event; no exact common receipt or joint saved outbox"
2,CaptiveEscapedEvent,blocked,,CaptivityEscapeRuntime and CaptivityRuntime,"escape state is committed before event publication; no detached captivity rollback/outcome outbox"
2,CaptivePerformerMilestoneEvent,blocked,,CaptivityPerformerRuntime,"milestone effects/event have no persisted pending outcome or joint commit"
2,CaptiveRansomedEvent,blocked,,CaptivityRuntime and treasury transaction,"captivity and money effects commit without a third gameplay-outcome participant"
2,CharacterBodyHealthDownedEvent,blocked,,CharacterBodyHealthRuntime,"post-health event is not independently authoritative and generic health mutations lack gameplay-outcome reservation"
2,CharacterBodyHealthRecoveredEvent,blocked,,CharacterBodyHealthRuntime,"recovery event publishes after mutation and no saved pending outcome exists"
2,CharacterCombatCommandTerminatedEvent,blocked,,CharacterCombatCommandRuntime,"command termination is post-state and not covered by the positive-damage-only outcome receipt"
2,CharacterDeathEvent,blocked,,CharacterBodyHealth state and CharacterVitalsSideEffectAdapter,"death side effects and lifecycle owner are not jointly staged with gameplay-outcome commit"
2,CharacterDiedEvent,blocked,,CharacterBodyHealthRuntime,"identity projection follows death; exact death cause/lifecycle transaction is not in the current combat receipt"
2,CharacterInjuredIdentityEvent,blocked,combat.damage-resolved,CombatCommandResultApplier plus other injury producers,"direct positive character damage is partial only; work and other injury producers plus miss/status/resource facts remain uncovered"
2,CharacterKilledEvent,blocked,combat.damage-resolved,CombatCommandResultApplier and CharacterIdentityEventPublisher,"kill/witness facts are emitted after outcome commit and are absent from the frozen attack payload"
2,CharacterMedicalBloodContactEvent,blocked,,CharacterMedicalRuntime,"medical contact result is post-state and lacks a rollback-capable saved outcome transaction"
2,DefenseFacilityStateChangedEvent,blocked,,DefenseFacilityRuntime,"facility defense state event publishes after mutation without ledger capacity reservation"
2,DefenseFacilityTriggeredEvent,blocked,,DefenseFacilitySystem,"trigger event is observer publication; trap costs/damage/state lack a joint outcome transaction"
2,DefenseFrontCollapsedEvent,blocked,,DefenseEngagementCombatRuntime,"front collapse is published after engagement mutation and has no pending outcome identity"
2,HealthThresholdCrossedEvent,blocked,combat.damage-resolved,CharacterBodyHealthRuntime,"threshold facts are not included in the partial combat receipt and non-combat health sources remain uncovered"
2,InvasionDungeonBreachedEvent,blocked,,InvasionIntruderExecutionCoordinator,"breach state commits before event publication with no outcome rollback/save participant"
2,InvasionFacilityDamagedEvent,blocked,,InvasionIntruderRuntime,"facility damage event is post-state and destructive facility effects cannot be rolled back by an outcome producer"
2,InvasionResolvedEvent,blocked,,InvasionIntruderExecutionCoordinator and InvasionIntruderRuntime,"multiple resolution paths publish after invasion state commit; no single exact durable result owner"
2,InvasionVariableSelectedEvent,blocked,,RunVariableRuntime,"selection event publishes after run-variable state mutation and lacks outcome reservation/replay"
2,PrisonerDecisionEvent,blocked,,CaptivityRuntime,"decision event follows captivity/economy mutation and is not a transaction authority"
2,VisitorFacilityCombatDamageCommittedEvent,blocked,combat.damage-resolved,CombatCommandResultApplier,"facility/customer/location facts are derived after positive-damage outcome commit and absent from its immutable payload"
