schemaVersion,definitionId,workstationTag,winnerSourceKind,winnerSourceCapabilityId,winnerProducerId,winnerBranchId,maximumSingleCompletionMassGrams,measurementCapabilityId,outputCapabilityIds,contextSourceDigest,planSourceDigest,scopeSourceDigest
v27-production-output-clearance-measurement-plan@1,building:1083,workstation:loom,1,production-output-clearance-source:recipe,recipe:bedding-animal,branch:normal,1000,production-output-clearance-measurement:recipe,production-output:standard-definition,04c777075e02d5aa5f9f46ecdc6c85b0de905b9e1dfd49b7b85b0f4c2d8e96e1,7aa9c89ad7c0e4ea7e9dc52902c4d21003bafe8d5afcd45c69a7a4ab51ec5835,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1084,workstation:tannery,1,production-output-clearance-source:recipe,recipe:leather,branch:normal,900,production-output-clearance-measurement:recipe,production-output:standard-definition,da97e0e401626dc8d5fbfa84421df76e02d2dce867e8f9371b246d0e52b234b1,bbca29da237b532e78a532135ad8b767befe1a3b96b5642da5dfe3bf84d3f9c3,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1085,workstation:composter,1,production-output-clearance-source:recipe,recipe:low-fuel-animal,branch:normal,800,production-output-clearance-measurement:recipe,production-output:standard-definition,8562cfe9b7898469af6d0dc6bd0cd90de30f3a9f350c764c5075ac1c3c0b8069,d7518d78c75fc8df7f51d1acf50441f0badc3c29dd4416bd9cc055c3977bf1d0,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1086,workstation:distillery,1,production-output-clearance-source:recipe,recipe:hallucinogenic-distillate,branch:normal,1800,production-output-clearance-measurement:recipe,production-output:standard-definition,b3f7eafbceee40d2d03904da405bf13b336df55070c3fd98f1c9cad20de585ba,c2e00475bb93bb6a667153287d50f1d76c83b923078d024fb0f0eeaad464aaab,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1087,workstation:cookbench,1,production-output-clearance-source:recipe,recipe:grain-porridge,branch:normal,3600,production-output-clearance-measurement:recipe,production-output:perishable-food,82416933393ace0e1b2379dc9fe9cf22aaf0ec03750546ebc41c4919799ad951,42b54e41c4edaacc74059175444512f1bc02a2cd2fa8f36dd58f3a34db0f3769,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1088,workstation:smoker,1,production-output-clearance-source:recipe,recipe:expedition-ration-pack,branch:normal,1500,production-output-clearance-measurement:recipe,production-output:perishable-food,71e0637b04449dbfb879bdb632a2582e9a7ae9a6946bf65eadc6d6afe27b02cb,037627b4e911a8446e7776db8b02760a9ebfb5143fa733882c91d8fe86c16189,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1089,workstation:feedbench,1,production-output-clearance-source:recipe,recipe:dog-food,branch:normal,1050,production-output-clearance-measurement:recipe,production-output:standard-definition,0c159faff3e353cb9f71488ae32d21413ea8715bfe3318c03c5bb6b75808e28e,288aa03be5a83525e3f3976d425cb047f832e2826cb11b94491978baa4d1b1cb,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1090,workstation:apothecary,1,production-output-clearance-source:recipe,recipe:vitality-tonic,branch:normal,1275,production-output-clearance-measurement:recipe,production-output:standard-definition,1d13203e9d9f93c8297a110f92394e04e685f1676b7f0545bf1fc2cf012a6d04,30b70a594ba3ba75b1022c2f794fd1dfb911bd4bade901ec823bdb9413d3beac,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1091,workstation:alchemy,1,production-output-clearance-source:recipe,recipe:advanced-medicine,branch:normal,3000,production-output-clearance-measurement:recipe,production-output:standard-definition,2405fd0846a62f62a36a2cfd3663e12a576c08df6dd6c2fddd1fb8f4aee65aac,56f81670e29d88a6f0b6f383f13feaef4c6078efbc2f37a2db88bb0e221c0d20,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1092,workstation:arcane-loom,1,production-output-clearance-source:recipe,recipe:dreamweave,branch:normal,120,production-output-clearance-measurement:recipe,production-output:standard-definition,361976f2cdffa1937a9cb3ed05b4ec6898770b2f4304817839707fde3fed8d64,5a52eca8a2a7f3e0fe1caa9bbfdb77c0da4a1b789b02be60c949d170e517409a,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1093,workstation:forge,1,production-output-clearance-source:recipe,recipe:bolt-iron,branch:normal,1100,production-output-clearance-measurement:recipe,production-output:combat-ammunition-craft,78909d0d9c6a761894a0d244603cf39a9a2b9ecb31f8b22c1d1267ced7855194,b674661b52a452d5ebc9c4fe4d3b4c8c5fcd2af6b0f9ff988ffdc8b342f9b3e3,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1094,workstation:quarry,1,production-output-clearance-source:recipe,source:quarry,branch:normal,15300,production-output-clearance-measurement:recipe,production-output:standard-definition,68201dd0c2ba7d1f6348b2e4bcc3ea775250170d8c875f501547db325f4f98bf,2d6702569b1041cf7acbc3c9cfa6f0d0823f1fcc99439e7012e055f02086dd99,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1095,workstation:crop-plot,2,production-facility-output-capacity:crop-harvest,production-facility-output-capacity:crop-harvest,crop-harvest:crop:ember-root:witness:natural:beastkin:golden-master,12950,production-output-clearance-measurement:crop-harvest,production-output:crop-harvest-seed-lot|production-output:standard-definition,8f0d9e80d24f983a1f533884cb4404e4dbf721628f9a6fc1eaf159751536aa62,a5a14e8d9195f35de722a31fe0b969c1df765acb2196170bd6f1d3932d084c5f,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:1096,workstation:hydroponics,2,production-facility-output-capacity:crop-harvest,production-facility-output-capacity:crop-harvest,crop-harvest:crop:ember-root:witness:natural:beastkin:golden-master,15200,production-output-clearance-measurement:crop-harvest,production-output:crop-harvest-seed-lot|production-output:standard-definition,032bad0780866fba373b1abe96a4ff4748f65b293cae91d0fadb995efcf8da6e,9be873df45a9c7c08129c8518b41c7a1747664c56bc1533452ac9cd8baa48569,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8802,workstation:v3:irrigation,1,production-output-clearance-source:recipe,recipe:resource:clean-water,branch:normal,4000,production-output-clearance-measurement:recipe,production-output:standard-definition,0f4386ef7b643654d806ea6c36e9190d8b8236d3305435dfb6c9dc71b7b66e76,7f7937517fd738be10f930fd2aed70bbc74633df961857dd4d65356ea8194233,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8803,workstation:v3:subterranean,1,production-output-clearance-source:recipe,recipe:supply:nitrate-fertilizer,branch:normal,4400,production-output-clearance-measurement:recipe,production-output:standard-definition,7b527615186cb44a7e8cbfd0742af26f06ebcd2191cf11f0bd9a62ca9faeb279,52e4408a045be5683cdab5c6a5fcc81b968e2169f84a8177d56d369654a367f3,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8804,workstation:v3:heraldry,1,production-output-clearance-source:recipe,recipe:tool:administrative-seal,branch:normal,2350,production-output-clearance-measurement:recipe,production-output:standard-definition,6aac08cc00414f6f16008d0eefd90b140e9231d7d30b4997d687c1bfbd3d4a01,453abc05bfb56e82535505495eb5618af54e114223f526a3e4529221b2b37db1,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8805,workstation:v3:ritual,1,production-output-clearance-source:recipe,recipe:craft:dreamweave-ritual-banner,branch:normal,1350,production-output-clearance-measurement:recipe,production-output:standard-definition,f61dc7d53f475ae46f3c95de52f1debfc74f5a4c5481f1bcc6b9baec176a5cbc,c6fe1b94c1508b034e10078dc36fb117e64d2122d131bc64184b0f06ef1cd677,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8806,workstation:v3:logistics,1,production-output-clearance-source:recipe,recipe:tool:hauling-harness,branch:normal,1150,production-output-clearance-measurement:recipe,production-output:environmental-workwear,19b86d8347d6ffcddf9a858750c47d1f3aa93d3535f9620803d7c2950f504d56,3f29a9e1c82ffb325fa87d3cc2bc7557ed9400145fc1c2613451753c4dcd285c,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8807,workstation:v3:retail,1,production-output-clearance-source:recipe,recipe:component:price-board,branch:normal,1800,production-output-clearance-measurement:recipe,production-output:standard-definition,88de8e97ad71af7a819b530af4fd0d8e3ea0999d7c4c99d39ad93d7d88881a33,68e02777b89d9e5c95c6b817e10c32e42c5b38ee0114f5219f6b4b8884884b8a,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8809,workstation:v3:prison-labor,1,production-output-clearance-source:recipe,recipe:tool:prisoner-work-kit,branch:normal,2350,production-output-clearance-measurement:recipe,production-output:standard-definition,c611576c9948b52da2457757d922e43dc476fb17591994b78f6c590a2bc26667,efcc69c63443d493e150f1c9a2e2e3572ddcbdc633dd63e43bef1a272dbbffa5,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8810,workstation:v3:restraint,1,production-output-clearance-source:recipe,recipe:tool:reinforced-restraint,branch:normal,2500,production-output-clearance-measurement:recipe,production-output:standard-definition,f45b081b2c483e69b7b125dac6dee66f508e02b5de026aae51e6ed6c30c29741,2670739cd3fb934ae16acd3f8c97498bdb84b30a9703828292a49393e32bfc34,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8811,workstation:v3:show,1,production-output-clearance-source:recipe,recipe:supply:performance-prop-box,branch:normal,1950,production-output-clearance-measurement:recipe,production-output:standard-definition,f6044358798863f597b8e33b902bb78e592af2e8bbe6812ea68e6dfcaa2fc697,01c757c50f4bc8cafd69d0ee2621ec4967e0ae5de5ef0d21133577aba200acc9,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8812,workstation:v3:signals,1,production-output-clearance-source:recipe,recipe:tool:watch-signal-horn,branch:normal,2350,production-output-clearance-measurement:recipe,production-output:standard-definition,deb397a2415c01164c54c4b6d8b53b3c34e8d7fdc3387df221eb0a070e730257,484f5257c2c4d52d8e692e1526754a704dba9ab9077126fb9329a5b880880e75,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8813,workstation:v3:fungal,2,production-facility-output-capacity:crop-harvest,production-facility-output-capacity:crop-harvest,crop-harvest:crop:ember-root:witness:natural:beastkin:golden-master,15200,production-output-clearance-measurement:crop-harvest,production-output:crop-harvest-seed-lot|production-output:standard-definition,46f6c1635b90a29f93409bc416c8e6343c8d268b3c472f5db8eeb1c6f5628e59,1f65199a6242c3565a2a574b8a15e914aff325f134cffd2dc0598ed41c634695,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8816,workstation:v3:treated-lumber,1,production-output-clearance-source:recipe,recipe:treated-lumber,branch:normal,2300,production-output-clearance-measurement:recipe,production-output:standard-definition,8cabdad7af2195cce40e5978f1d8078f4eafcf2ee2e650ea4a6742dc828e111d,032179dd09be41285ca89b548159d24466d7081714ac2390a8036b3e6b168de0,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8817,workstation:v3:breeding,1,production-output-clearance-source:recipe,recipe:record:breeding-ledger,branch:normal,1100,production-output-clearance-measurement:recipe,production-output:standard-definition,ef395f74ab0d62e42889b34fae4467cca02645e2e970dc9fb8b9f1e22bbd6e61,70286b3e13d6e61b5f1621925a0f9a1fe46caef62bf37e776b42f07fd1996e93,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8821,workstation:v3:machine-parts,1,production-output-clearance-source:recipe,recipe:component:waterwheel-drive-shaft,branch:normal,3150,production-output-clearance-measurement:recipe,production-output:standard-definition,0f56a51ad01ca54753e04c68eb816aa37b721ab766ceb4c37abcc232cb2ff831,afebca45c2b93f464291aa63caf4a980dae1b5c1d9cd8b6bddc960b1c3563e39,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8822,workstation:v3:sanitation,1,production-output-clearance-source:recipe,recipe:component:reclaimed-water-filter,branch:normal,2300,production-output-clearance-measurement:recipe,production-output:standard-definition,e3bd90c2b6b99eb7c2e99aecf6a712d5fa5068ce53763df97ab447c64389adb1,173fc804a941ba00cbd4d6074eb9332b9af7e0aad1a05b6f33d4f011d58b605f,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8823,workstation:v3:rune-conductor,1,production-output-clearance-source:recipe,recipe:material:mana-alloy,branch:normal,4800,production-output-clearance-measurement:recipe,production-output:standard-definition,134221bff63498b34ca7c544583f00318c7eb090e9672d7f4c2c2f8ed508f104,29c515cc8160abd4222eed3d1007a5420650cb4fcb52ea52bffb784d0c4308d2,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8824,workstation:v3:defense-ammo,1,production-output-clearance-source:recipe,recipe:ammo:blasting-charge,branch:normal,5800,production-output-clearance-measurement:recipe,production-output:combat-ammunition-craft,c649475d9090985d649766aba46c21cb8ee695eaf5dc7b3c551dc5c01e3e1475,a37f70f5388b71f49ebdf97238c15631fb2253e3068c83c75d8dab3110f7d987,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8825,workstation:v3:prototype,1,production-output-clearance-source:recipe,recipe:material:paper,branch:normal,3600,production-output-clearance-measurement:recipe,production-output:standard-definition,96f226cb9f478072c3b5dfccb9e6d0cc148735bbacc0c0d8a4e72e8edf84f52c,27c4e7c5a8980f619a74b4a5e279f9124cd4eb470a13bce88148316806ce1ef1,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8826,workstation:v3:material-test,1,production-output-clearance-source:recipe,recipe:component:material-test-coupon,branch:normal,4700,production-output-clearance-measurement:recipe,production-output:standard-definition,17952734081138b0acc6ee496b37dcf19cd97ab3f03a4751062ed89a44fb10fd,2d300bc95f71e6e50dba3d348e06e40cfbdda5cda348c5391e0ae107fd88acea,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8827,workstation:v3:factory-layout,1,production-output-clearance-source:recipe,recipe:component:factory-installation-plan,branch:normal,1150,production-output-clearance-measurement:recipe,production-output:standard-definition,4af95625ab180da4d933522b3744f2060486e251e6319db6242e42f367f54867,9c5c24ce2c17c3af7964ff03c9759ca97cce2ac2c5e81249ac1261526226254a,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8828,workstation:v3:cooling,1,production-output-clearance-source:recipe,recipe:component:climate-control-manifold,branch:normal,2350,production-output-clearance-measurement:recipe,production-output:standard-definition,6928aa2633d3132a8234aa88e48814078286f2ca5a1943159ec2ad5062acbf92,dd19b3f2b9dc5b2e8663d828d8d0589e417e45c008d972eab03f83d702485c92,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8830,workstation:v3:maintenance,1,production-output-clearance-source:recipe,recipe:tool:field-repair-kit,branch:normal,2500,production-output-clearance-measurement:recipe,production-output:standard-definition,0e2020912783cf84453855b1dea8d917418a7f1db8d186debeb5b79b85f87917,fb9734be74e4c9be1cbc528cf5d26e4b7490be8f8b0aec92605536e88e1a076c,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8831,workstation:v3:powered-tools,1,production-output-clearance-source:recipe,recipe:component:insulated-wiring,branch:normal,5000,production-output-clearance-measurement:recipe,production-output:standard-definition,13b9cc725696056ce634c5b92dcfd71fd8eb2e45b1b440c52c83eaf0e23fda82,59e8a2efbdf0d4a4f611c2790b0f7ce1e0ad3f7e2dc0facf65a6ed25f190abf6,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8832,workstation:v3:precision-parts,1,production-output-clearance-source:recipe,recipe:component:precision-parts,branch:normal,2150,production-output-clearance-measurement:recipe,production-output:standard-definition,301ee1d8fee8b14a7ed597400feb826a6fd3bb06beff0b994cdacde2fe896b67,fbae5a0dc6bc5c94df766a9d2fcb586209d352e4828969a61fa0db3b274cbcfd,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8833,workstation:v3:rune-control,1,production-output-clearance-source:recipe,recipe:component:rune-control-panel,branch:normal,1200,production-output-clearance-measurement:recipe,production-output:standard-definition,f6b1e03c052ee0e00415da3d442376a610a293c52f52b51b48a2935b00bcd33a,7e012d1da38154b5bf621215bcb4331ca1451ee8e1f0e16e1b94d188c0f30382,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8835,workstation:v3:armor-tailoring,1,production-output-clearance-source:recipe,recipe:component:textile-hardener,branch:normal,2200,production-output-clearance-measurement:recipe,production-output:standard-definition,baaf9c34809e234f6b42f5e07f320c1c2b6505ead9ff046973208bfae512edb7,1f9adae1d7254f5b3f22ee672978307ba6c56fd99cf457c0f693fe0a7d93cc56,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8836,workstation:v3:bow-jig,1,production-output-clearance-source:recipe,recipe:material:laminated-lumber,branch:normal,3200,production-output-clearance-measurement:recipe,production-output:standard-definition,a2dbf975e087356cde892a9a0afa5d53e1a42584bd6329b7bb4b1121f4749986,17dab60e7614be4b0de2a3ce10788ae481febe36882f7b848c226c998ea10e82,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8837,workstation:v3:windlass,1,production-output-clearance-source:recipe,recipe:tool:deep-shaft-hoist,branch:normal,2400,production-output-clearance-measurement:recipe,production-output:standard-definition,f000968068e16042e2b42bf04d84faadefd446dbcaa1d41cf3302ca91d7649df,d24ea0f706d1d08c791694618605eb20d42b0dd37d13a05bba1466ef37c26403,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8838,workstation:v3:chain,1,production-output-clearance-source:recipe,recipe:material:chain-mesh,branch:normal,4200,production-output-clearance-measurement:recipe,production-output:standard-definition,6e8c121ce75c29c314f3a86257e0f92b60d52103abdaa85f4a52290da9161a2a,e5dcb03065aa36252576427e352d12bc5ac21355da0fa320636523fff672f960,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8839,workstation:v3:plate-jig,1,production-output-clearance-source:recipe,recipe:material:plate-blank,branch:normal,4200,production-output-clearance-measurement:recipe,production-output:standard-definition,c5a1a7e692e1298f3ac72389d5e91e83955d9e6bbd06e2341f18d16604f4b008,c1f7f86c7fa8cb5750703c99de2ab25a3a939b0e3ad127b88e16d651a60287df,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8840,workstation:v3:powder-mill,1,production-output-clearance-source:recipe,recipe:material:black-powder,branch:normal,13200,production-output-clearance-measurement:recipe,production-output:standard-definition,2140af0870aee9cc9914459f4adc36d229905790a81044d000833b49d317c996,295fcb181fa2fb35b12aef78a48fb1976ee0e78fc449892c9f01b415559d01c9,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8841,workstation:v3:ammo-press,1,production-output-clearance-source:recipe,recipe:material:granulated-powder,branch:normal,5100,production-output-clearance-measurement:recipe,production-output:standard-definition,7c4548117bcfe850262b2227e239cf84367714ee994e3f51d438c0ac01a1fdac,f50cb5cc4204fcdf52c0622fc1d863d9b48b92f248ddb577a82a52695bd9e411,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8842,workstation:v3:appraisal,1,production-output-clearance-source:recipe,recipe:loot-appraisal,branch:normal,500,production-output-clearance-measurement:recipe,production-output:standard-definition,01c89ddfaef0ea34d46c8905fe0cb62d097daf70e2a9ca3c98d42a73c48533d9,5532ff32c5a20fe6fff8242b400a9ca79b6436725633c039453612ea0743956f,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
v27-production-output-clearance-measurement-plan@1,building:8843,workstation:v3:restoration,1,production-output-clearance-source:recipe,recipe:medical:organ-preservation-canister,branch:normal,3000,production-output-clearance-measurement:recipe,production-output:standard-definition,5c7fad1e4f12244e717afc1294b8e871b97c5779599ed20dc57b7c341fcaebff,1b14e1785a4eb1c677cf53a17671d0a66ef08eaf2d283173bd6d458dc5f48e35,35d769ecbaafecf9fc44a852c9bc451703a44f10e77513c75fc0dfbbd3f4d05c
