schemaVersion,state,ownerDomain,destinationRule,producerSymbol,claimAuthority,capacityAuthority,consumerAndPersistence,cancelRelease,disposition,sourcePath,sourceDigest
1,FacilityBuffer,combat.defense-facility,facility-input:defense:{facilityId}|facility-input:defense-maintenance:{facilityId},DefenseFacilityRuntime|DefenseFacilityInputOwnerRuntime|DefenseFacilityInputOwnerLifecycleRuntime,exact LiveFacility claim; ExactGramRequired policy,current exact supply and maintenance item grams with positive-capacity projection,Defense state/outbox + derived claim/profile restore join + Physical Items child authority,carried-aware retired-owner release before paired authority revoke,migrated,Assets/Scripts/Services/Defense/DefenseFacilityRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,combat.equipment-crafting,facility-input:exact:combat.equipment-crafting:{orderId},CombatEquipmentCraftingRuntime|CombatEquipmentCraftInputDestinationRuntime,exact LiveFacility claim; ExactGramRequired policy,current recipe exact material lots in positive frozen grams,Craft V7 + WIP + exact owner pair + Physical Items child authority,carried-aware terminal release before paired authority revoke,migrated,Assets/Scripts/Services/Combat/CombatEquipmentCraftInputDestinationRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,combat.equipment-evolution,facility-reforge:{orderId}|facility-reattune:{orderId},EquipmentEvolutionRuntime|EquipmentEvolutionInputOwnerRuntime,exact LiveFacility claim; equipment-crafting capability; ExactGramRequired policy,exact positive equipment/component/material grams with frozen fingerprint and revision,Equipment Evolution V5 orders + exact owner pair + Physical Items child authority,carried-aware release before paired revoke,migrated,Assets/Scripts/Services/Combat/EquipmentEvolutionInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,combat.equipment-maintenance,equipment-repair:{equipmentInstanceId},EquipmentMaintenanceRuntime,exact LiveFacility claim; exact-stack managed admission,one repair batch: dynamic unique equipment plus exact material grams,maintenance save + profile restore + WIP receipt join,owner-wide terminal close,migrated,Assets/Scripts/Services/Combat/EquipmentMaintenanceRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,combat.equipment-module,facility-input:exact:combat.equipment-module:{facilityPersistentId},EquipmentModuleRuntime|EquipmentModuleInputOwnerRuntime|EquipmentModuleInputOwnerLifecycleRuntime,exact LiveFacility claim; ExactGramRequired policy,exact positive appraisal/module supply vector in current grams,derived current facility pair + equipment/module custody + restore participant 219 + Physical Items child authority,carried-aware lost-facility/capability release before paired revoke,migrated,Assets/Scripts/Services/Combat/EquipmentModuleInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.certified-seed,facility-input:exact:economy.certified-seed:{facilityId}:{cropId}:{sequence},CertifiedSeedRuntime|CertifiedSeedInputOwnerRuntime,exact LiveFacility claim; ExactGramRequired policy,exact seed and certification-kit lots in current positive grams,CertifiedSeed current format + crop receipt + exact input pair + common output owner + Physical Items child authority,carried-aware committed/aborted/lost-facility release before paired authority revoke,migrated,Assets/Scripts/Services/Economy/CertifiedSeedInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.crop-plot,facility-input:exact:economy.crop-plot:{sow|treatment}:{escapedPersistentPlotId}:{sequence:D8},CropPlotRuntime|CropPlotInputOwnerRuntime,exact LiveFacility claim; ExactGramRequired policy,exact sow/treatment input lots in current positive grams,Crop Plot current format + exact owner pair + Physical Items child authority,carried-aware cancel/completion/destroy/removal release before paired authority revoke,migrated,Assets/Scripts/Services/Economy/CropPlotInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.grand-project,facility-input:exact:economy.grand-project:{escapedProjectId},GrandProjectRuntime|EconomyProjectInputOwnerRuntime,exact LiveFacility claim; ExactGramRequired policy,exact positive authored project requirement vector in current grams,Grand Project current format + projection fingerprint/revision + typed Sink + Physical Items child authority,carried-aware terminal release before paired revoke,migrated,Assets/Scripts/Services/Economy/EconomyProjectInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.production,production:{billId},ProductionInputLogisticsService,exact ReservedTarget/LiveFacility claim,per-bill 2-3 cycle exact gram bound,ProductionBill V13 + Physical Items + HaulIntent,atomic destination/carry release,migrated,Assets/Scripts/Services/Economy/ProductionInputLogisticsService.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.production-sensor,production-sensor:{facilityId},ProductionStockSensorRuntime|ProductionStockSensorDestinationAuthorityRuntime,exact LiveFacility claim; exact-stack managed admission,one authored stock-sensor panel in exact current grams,Production V14 sensor owner + derived current-facility claim/profile + Physical Items,atomic destination release; mutation rollback restores exact authority,migrated,Assets/Scripts/Models/Economy/Content/ProductionStockSensorRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.regional-contract,facility-input:exact:economy.regional-contract:{escapedContractId},RegionalSupplyContractRuntime|EconomyProjectInputOwnerRuntime,owner-neutral exact ReservedTarget claim; ExactGramRequired policy,exact positive contract requirement vector in current grams,Regional Contract current format + projection fingerprint/revision + typed Transfer + Physical Items child authority,carried-aware terminal release before paired revoke,migrated,Assets/Scripts/Services/Economy/EconomyProjectInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.stock-policy,facility-input:exact:economy.stock-policy:{escapedItemId},ResourceStockPolicyRuntime|EconomyProjectInputOwnerRuntime,owner-neutral exact ReservedTarget claim; ExactGramRequired policy,one authored max-stack lot of the exact policy item in current grams,Stock Policy current format + projection fingerprint/revision + typed sale Transfer + Physical Items child authority,carried-aware disable/sale completion release before paired revoke,migrated,Assets/Scripts/Services/Economy/EconomyProjectInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,economy.waste-direct-feed,facility-input:exact:captivity.wildlife-care:{penPersistentId},WasteProcessingRuntime delegated consumer of WildlifeCareInputOwnerRuntime,validated exact LiveFacility wildlife-care claim/profile,delegates positive gram capacity to captivity.wildlife-care owner,waste typed Sink outbox + wildlife-care current-format owner,no independent authority; arbitrary destination rejected,delegated-consumer,Assets/Scripts/Services/Economy/Waste/WasteProcessingPortAdapters.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,facility.evolution,facility-input:exact:facility.evolution:{modification|recalibration|relocation}:{orderId},FacilityInstanceEvolutionRuntime|FacilityEvolutionInputOwnerRuntime,modification/recalibration exact LiveFacility; relocation owner-neutral ReservedTarget; ExactGramRequired,exact positive order material/package vector in current grams,Evolution current format projections + exact package custody + restore participant 219 + Physical Items child authority,carried-aware terminal release before paired revoke,migrated,Assets/Scripts/Services/FacilityEvolution/FacilityEvolutionInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.climate,facility-input:exact:durable-equipment:infrastructure.climate:{towerPersistentId}:{assignmentSequence},ClimateRuntime|ClimateDurableEquipmentRuntime|ClimateDurableEquipmentLifecycleRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,policy-derived positive gram profile for one seasonal almanac and one weather observation kit,durable slot lifecycle + climate projection + Physical Items child authority,owner-neutral lost-tower/capability close and carried-aware terminal drain,migrated,Assets/Scripts/Services/Infrastructure/Environment/ClimateRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.conveyor,{callerDestinationId},ConveyorItemGateway.TryCompleteToFacility,arrival-time exact current claim/profile; V3 dynamic destination intent,arrival exact-lot grams; failed unload retains exact InTransit custody,V3 canonical payload plus bidirectional payload/InTransit restore join; route and current authority are re-evaluated after restore,capacity or commit failure preserves InTransit payload and releases transient grams,transport-delegated-exact,Assets/Scripts/Services/Infrastructure/Industrial/ConveyorItemGateway.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.electrical,power:{nodeId},ElectricalNetworkRuntime,exact LiveBuilding claim; exact-stack managed admission,common positive-gram profile,AIHaul; carried 350g save/restore; consumption,terminal close,migrated,Assets/Scripts/Services/Infrastructure/Industrial/ElectricalNetworkRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.fluid,plumbing:manual-water:{fixtureId}|plumbing:water-transfer:{nodeId},FluidNetworkRuntime|FluidFacilityInputOwnerAuthority,manual-water exact LiveBuilding; transfer exact LiveFacility; ExactGramRequired,exact clean-water unit grams x authored requested units,Fluid V6 typed Transfer + projection fingerprint/revision + Physical Items child authority,carried-aware replacement/cancellation release before paired revoke,migrated,Assets/Scripts/Services/Infrastructure/Industrial/FluidFacilityInputOwnerAuthority.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.manual-water-fallback,plumbing:manual-water:{fixtureId},FluidNetworkRuntime,same exact LiveBuilding authority as infrastructure.fluid,same clean-water projection; not counted twice,Fluid V6 pending Transfer and save authority,delegated transfer cancellation,duplicate-authority,Assets/Scripts/Services/Infrastructure/Industrial/FluidFacilityInputOwnerAuthority.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,infrastructure.process-fluid,plumbing:process-water:{nodeId}:{workTypeId},ProcessFluidUseRuntime|FluidFacilityInputOwnerAuthority,exact LiveFacility claim; ExactGramRequired policy,exact clean-water item grams x authored process requirement,production/surgery WIP + Fluid V6 typed Transfer + derived pair,carried-aware work cancellation release before paired revoke,migrated,Assets/Scripts/Services/Infrastructure/Industrial/FluidFacilityInputOwnerAuthority.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,invasion.defense-kit,facility-input:exact:durable-equipment:invasion.defense-kit:{signalPostPersistentId}:{assignmentSequence},DefenseCombatExecutor|InvasionDefenseKitSupplyRuntime|InvasionDefenseKitSupplyLifecycleRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,"one exact 1,150g alliance signal kit",durable slot delivery/save join + existing Run milestone typed Sink authority + Physical Items child authority,owner-neutral lost-post/capability close and carried-aware terminal drain,migrated,Assets/Scripts/Services/Invasion/DefenseCombatExecutor.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,invasion.signal-horn,facility-input:exact:durable-equipment:invasion.signal-horn:{signalPostPersistentId}:{assignmentSequence},InvasionDirectorRuntime|InvasionSignalHornDurableEquipmentRuntime|RunInvasionDurableEquipmentLifecycleRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,"policy-derived positive gram profile for one 2,350g max-stack-1 watch signal horn",durable slot lifecycle + invasion publish effect + Physical Items child authority,owner-neutral lost-post/capability close and carried-aware terminal drain,migrated,Assets/Scripts/Services/Invasion/InvasionDirectorRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,medical.character-supply,facility-input:exact:medical.character-supply:{orderId}:{destinationSequence},CharacterMedicalSupplyDestinationRuntime|CharacterMedicalSupplyCoordinator|CharacterMedicalSupplyDestinationDrainRuntime,exact LiveFacility claim; ExactGramRequired policy,one capability-derived treatment medicine or extracted-blood item in exact current grams,Character Medical V6 + claim/profile + active-1/closed-N upper joins + Physical Items child + raw/candidate cross-save preflight,owner-neutral carried-aware sequence drain and child-first/upper-last atomic checkpoint collection,migrated,Assets/Scripts/Services/Combat/CharacterMedicalSupplyDestinationRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,medical.surgery,surgery-materials:{orderId},SurgeryMaterialDestinationRuntime|SurgeryLogisticsRuntime|SurgeryMaterialTerminalRuntime,exact ReservedTarget/LiveFacility claim; ExactGramRequired policy,required materials + exact corpse/selected-part positive gram bound,Surgery V12 + sink/terminal join + raw/candidate restore preflight + durable checkpoint GC,owner-neutral carried-aware terminal drain and owner/child atomic checkpoint collection,migrated,Assets/Scripts/Services/Medical/SurgeryMaterialDestinationRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,medical.surgical-part-storage,{organStorageFacilityId}|surgery-organ-storage-fuel:{facilityId},SurgicalPartRuntime|SurgicalPartStorageInputOwnerAuthority,exact LiveFacility claim; ExactGramRequired policy,authored organ storage mass plus one exact positive fuel unit,Surgery current format storage projection + exact typed fuel Sink + restore join,carried-aware storage/fuel release before paired revoke,migrated,Assets/Scripts/Services/Medical/SurgicalPartStorageInputOwnerAuthority.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,offense.expedition-supply,expedition:{packageId},OffensePreparationService,exact ReservedTarget claim; exact-stack managed admission,one package exact cost-vector grams,expedition package costs + projected claim/profile + Physical Items,atomic destination release and owner-wide terminal close,migrated,Assets/Scripts/Services/Offense/OffensePreparationService.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,offense.urgent-mitigation,facility-input:exact:offense.urgent-mitigation:{escapedOrderId},OffenseUrgentMitigationRuntime|OffenseUrgentMitigationInputOwnerRuntime,exact LiveFacility claim; ExactGramRequired policy,one exact mitigation material line in current positive grams,Offense current schema V8 + exact owner pair + Physical Items child authority,carried-aware cancel/facility-loss/completion release before paired authority revoke,migrated,Assets/Scripts/Services/Offense/Strategic/OffenseUrgentMitigationInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,research.arcane-index,{researchFacilityId},ResearchWorkExecutionAdapter|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,policy-derived positive gram profile for the exact arcane-index equipment lot,durable slot lifecycle + research projection + Physical Items child authority,owner-neutral slot reconcile and terminal lifecycle drain,migrated,Assets/Scripts/Services/Infrastructure/ResearchWorkExecutionAdapter.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,research.blueprint-archive,research-archive:{facilityPersistentId},BlueprintResearchRuntime|ResearchBlueprintArchiveQuery,exact LiveBuilding claim; ExactGramRequired policy,"authored archive count x maximum exact catalog blueprint unit grams; current 8 x 150g = 1,200g",Research V6 derived claim/profile restore + Physical Items dependency,carried-aware owner-position release before paired authority retirement,migrated,Assets/Scripts/Services/Infrastructure/ResearchBlueprintArchiveAdapter.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,research.knowledge-residue,facility-input:exact:research.knowledge-residue:{taskId}:{assignmentSequence:D8},KnowledgeResidueDestinationRuntime|KnowledgeResidueProcessingRuntime,exact LiveFacility claim; ExactGramRequired policy,one exact captivity:memory-residue item in current positive grams,Research V6 task projection + claim/profile + Physical Items pending Sink restore join,invalid/lost owner-position physical release before revoke; exact Sink publication before revoke/ack,migrated,Assets/Scripts/Services/Infrastructure/KnowledgeResidueDestinationRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,run.v20-administrative-seal,facility-input:exact:durable-equipment:run.v20-administrative-seal:{officePersistentId}:{assignmentSequence},V20ContentResolutionService|RunAdministrativeSealDurableEquipmentRuntime|RunInvasionDurableEquipmentLifecycleRuntime|DurableFacilityEquipmentSlotRuntime,exact LiveFacility claim; durable exact-stack slot policy,"policy-derived positive gram profile for one 2,350g max-stack-1 administrative seal",durable slot lifecycle + campaign effect + Physical Items child authority,owner-neutral lost-office/capability close and carried-aware terminal drain,migrated,Assets/Scripts/Services/Run/V20ContentResolutionService.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,survival.character-consumables,facility-input:exact:survival.character-consumables:v1:{meal|recreation-substance}:{escapedFacilityId}:{escapedItemId},CharacterConsumablesRuntime|CharacterConsumablesInputOwnerDescriptorSource|CharacterConsumablesInputOwnerRuntime|CharacterConsumablesInputOwnerLifecycleRuntime,exact LiveFacility claim; ExactGramRequired policy,one exact current item unit in positive grams per item-specific destination,Consumables V8 + derived claim/profile restore join + Physical Items child authority,lost-facility/capability carried-aware release before paired revoke,migrated,Assets/Scripts/Services/Survival/CharacterConsumablesInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityBuffer,work.construction,facility-input:exact:work.construction:{orderId},WorkAmountSystem|WorkConstructionInputOwnerRuntime,exact LiveBuilding ConstructionSite claim; ExactGramRequired policy,exact positive remaining construction material vector in current grams,Work Order V8 projection fingerprint/revision + typed material Transfer + Physical Items child authority,carried-aware cancellation/terminal release before paired revoke,migrated,Assets/Scripts/Services/Character/Work/WorkConstructionInputOwnerRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,combat.craft-output,production-output:{facilityId}|sale:quality-rejected,CombatEquipmentCraftOutputTransaction|ProductionDomainOutputPublicationService,output owner,"equipment/ammunition exact component and gram reservation, atomic planned publication, acknowledgement release, restore join and durable rejected-sale settlement",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Combat/CombatEquipmentCraftOutputTransaction.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,economy.certified-seed-output,production-output:{facilityId},CertifiedSeedRuntime|ProductionDomainOutputPublicationService,output owner,"exact seed-lot component, gram reservation, planned publication, common restore ownership join, input/output acknowledgement",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Economy/CertifiedSeedRuntime.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,economy.production-output,production-output:{facilityId},ProductionPreparedOutputExecutionAdapter|StandardDefinitionProductionOutputCapability,output owner,all definition-only recipe outputs are capability-selected into the common prepared-output gram reservation and atomic publication owner; the standard capability is descriptor-only and mixed standard/special vectors fail before RNG or publication,output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Economy/ProductionPreparedOutputExecutionAdapter.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,environment.apparel-output,production-output:{facilityId},ApparelPhysicalTransaction,output owner,"exact unique component and gram reservation, atomic planned publication, restore adoption and acknowledgement",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Infrastructure/Environment/ApparelPhysicalTransaction.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,environment.workwear-output,production-output:{facilityId},EnvironmentalWorkwearProductionOutputHandler|FacilityBufferPlannedOutputPublicationService,output owner,"exact unique apparel component, gram reservation, atomic planned publication, durable acknowledgement and idempotent replay",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Infrastructure/Environment/EnvironmentalWorkwearProductionOutputHandler.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,exterior.merchant-cart,physical-source-buffer:exterior.merchant-cart:{incidentId},MerchantCartExteriorIncidentHandler|PhysicalItemExactSourcePublicationService,output owner,"exact retained batch with acknowledged provenance, exact sink/release, and Exterior V3 + Physical Items V18 restore-authority join",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Infrastructure/Exterior/ExteriorIncidentHandlers.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
1,FacilityOutputBuffer,medical.surgical-part-output,production-output:{facilityId},SurgicalPartProductionOutputHandler|SurgicalPartRuntime,output owner,"exact unique component, gram reservation, planned publication, physical join, and acknowledgement",output WIP/commit authority,WaitingForOutputSpace/route,migrated,Assets/Scripts/Services/Medical/SurgicalPartProductionOutputHandler.cs,ad6d299efd3690ec675f5a3ce55f74ffb61aaa0a5b4c12e70fafb85232eb69a1
