WORK_EXECUTION_FAILURE_MATRIX_V1
result=PASS
catalog=31; profiles=31; green=31; unimplemented=0; commonContract=GREEN
axes=target invalidation + facility/recipe/item reservation failure + safe-checkpoint cancellation
restockFocusedContract=two-owner competition + cancellation return + shortage rejection + exact-once lease commit
note=NotApplicable and PolicyExempt are explicit authored outcomes, never implicit success.

status | workType | route | target | facility | recipe | item | checkpoint | executor | evidence
GREEN | work:draw-water | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | SurvivalWorkExecutionHandler | survival availability revalidation plus common timed loop
GREEN | work:cook | RegisteredHandler | CommonExecutor | SpecialExecutor | SpecialExecutor | SpecialExecutor | CommonExecutor | SurvivalWorkExecutionHandler | production BeginWork owns recipe/input reservation failure
GREEN | work:treat | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | SpecialExecutor | PolicyExempt | SurvivalWorkExecutionHandler | medical availability and item consumption failure return through the common terminal path
GREEN | work:surgery | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | SpecialExecutor | PolicyExempt | SurgeryWorkExecutionHandler | surgery TryReserveWork/ReleaseDoctor owns the special non-interruptible reservation lifecycle
GREEN | work:refuel | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | SpecialExecutor | CommonExecutor | SurvivalWorkExecutionHandler | fuel/recharge begin and persistent application failures return through the common terminal path
GREEN | work:warden | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | WardenWorkExecutionUnityAdapter | warden adapter plus common timed/persistent loop
GREEN | work:perform | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | PerformWorkExecutionUnityAdapter | performance adapter plus common timed/persistent loop
GREEN | work:gather | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | ResourceGatheringWorkExecutionHandler | world-resource persistent progress revalidation
GREEN | work:sow | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | ResourceGatheringWorkExecutionHandler | crop persistent progress revalidation
GREEN | work:harvest | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | ResourceGatheringWorkExecutionHandler | crop persistent progress revalidation
GREEN | work:logging | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | ResourceGatheringWorkExecutionHandler | world-resource persistent progress revalidation
GREEN | work:quarry | RegisteredHandler | CommonExecutor | SpecialExecutor | SpecialExecutor | SpecialExecutor | CommonExecutor | ResourceGatheringWorkExecutionHandler | resource node or production BeginWork owns quarry failure
GREEN | work:animal-care | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | AnimalHusbandryWorkExecutionAdapter | husbandry adapter plus common persistent loop
GREEN | work:grand-project | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | SpecialExecutor | CommonExecutor | GrandProjectWorkExecutionHandler | project workforce/material state plus common persistent loop
GREEN | work:threat-mitigation | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | PolicyExempt | ThreatMitigationWorkExecutionHandler | threat adapter owns target invalidation; emergency-response work is not suspendible
GREEN | work:plumbing | RegisteredHandler | CommonExecutor | SpecialExecutor | NotApplicable | NotApplicable | CommonExecutor | PlumbingWorkExecutionHandler | plumbing query revalidation plus common timed loop
GREEN | work:dismantle | CommonWorkOrder | CommonExecutor | CommonExecutor | NotApplicable | NotApplicable | CommonExecutor | WorkTaskExecutor | work-order cancellation/material state and common checkpoint loop
